band_key,section,row,az,eye_elev_navd88,d_shore_ft,theta_top_deg,horizon_dip_deg,far_skyline_deg,uses_dip_fallback
east r1,east,1,318.0,614.8,12487.0,-0.1793,-0.1054,-0.079,False
east r1,east,1,320.0,614.8,12107.0,-0.1839,-0.1054,-0.076,False
east r1,east,1,322.0,614.8,11773.0,-0.1882,-0.1054,0.139,False
east r1,east,1,324.0,614.8,11467.0,-0.1924,-0.1054,0.496,False
east r1,east,1,326.0,614.8,11193.0,-0.1963,-0.1054,0.581,False
east r1,east,1,328.0,614.8,10940.0,-0.2001,-0.1054,0.665,False
east r1,east,1,330.0,614.8,10713.0,-0.2037,-0.1054,0.677,False
east r1,east,1,332.0,614.8,10507.0,-0.2072,-0.1054,0.699,False
east r1,east,1,334.0,614.8,10327.0,-0.2103,-0.1054,0.714,False
east r1,east,1,336.0,614.8,10153.0,-0.2134,-0.1054,0.678,False
east r1,east,1,338.0,614.8,10007.0,-0.2161,-0.1054,0.559,False
east r1,east,1,340.0,614.8,9873.0,-0.2187,-0.1054,0.39,False
east r1,east,1,342.0,614.8,9753.0,-0.221,-0.1054,0.347,False
east r2,east,2,318.0,615.8,12480.0,-0.184,-0.1069,-0.081,False
east r2,east,2,320.0,615.8,12113.0,-0.1885,-0.1069,-0.074,False
east r2,east,2,322.0,615.8,11773.0,-0.193,-0.1069,0.138,False
east r2,east,2,324.0,615.8,11467.0,-0.1973,-0.1069,0.494,False
east r2,east,2,326.0,615.8,11193.0,-0.2014,-0.1069,0.58,False
east r2,east,2,328.0,615.8,10940.0,-0.2054,-0.1069,0.662,False
east r2,east,2,330.0,615.8,10713.0,-0.2091,-0.1069,0.675,False
east r2,east,2,332.0,615.8,10507.0,-0.2126,-0.1069,0.697,False
east r2,east,2,334.0,615.8,10327.0,-0.2158,-0.1069,0.712,False
east r2,east,2,336.0,615.8,10153.0,-0.219,-0.1069,0.674,False
east r2,east,2,338.0,615.8,10007.0,-0.2218,-0.1069,0.556,False
east r2,east,2,340.0,615.8,9873.0,-0.2245,-0.1069,0.387,False
east r2,east,2,342.0,615.8,9753.0,-0.2269,-0.1069,0.344,False
east r3,east,3,318.0,616.97,12487.0,-0.1893,-0.1086,-0.084,False
east r3,east,3,320.0,616.97,12113.0,-0.1941,-0.1086,-0.076,False
east r3,east,3,322.0,616.97,11773.0,-0.1987,-0.1086,0.136,False
east r3,east,3,324.0,616.97,11467.0,-0.2032,-0.1086,0.494,False
east r3,east,3,326.0,616.97,11193.0,-0.2074,-0.1086,0.578,False
east r3,east,3,328.0,616.97,10940.0,-0.2115,-0.1086,0.661,False
east r3,east,3,330.0,616.97,10713.0,-0.2153,-0.1086,0.673,False
east r3,east,3,332.0,616.97,10507.0,-0.219,-0.1086,0.694,False
east r3,east,3,334.0,616.97,10327.0,-0.2223,-0.1086,0.71,False
east r3,east,3,336.0,616.97,10153.0,-0.2256,-0.1086,0.671,False
east r3,east,3,338.0,616.97,10007.0,-0.2285,-0.1086,0.553,False
east r3,east,3,340.0,616.97,9873.0,-0.2313,-0.1086,0.385,False
east r3,east,3,342.0,616.97,9753.0,-0.2338,-0.1086,0.342,False
east r4,east,4,318.0,618.13,12487.0,-0.1946,-0.1102,-0.086,False
east r4,east,4,320.0,618.13,12113.0,-0.1996,-0.1102,-0.079,False
east r4,east,4,322.0,618.13,11773.0,-0.2044,-0.1102,0.134,False
east r4,east,4,324.0,618.13,11467.0,-0.209,-0.1102,0.492,False
east r4,east,4,326.0,618.13,11193.0,-0.2133,-0.1102,0.577,False
east r4,east,4,328.0,618.13,10940.0,-0.2176,-0.1102,0.657,False
east r4,east,4,330.0,618.13,10713.0,-0.2215,-0.1102,0.671,False
east r4,east,4,332.0,618.13,10513.0,-0.2252,-0.1102,0.692,False
east r4,east,4,334.0,618.13,10327.0,-0.2288,-0.1102,0.708,False
east r4,east,4,336.0,618.13,10160.0,-0.2321,-0.1102,0.668,False
east r4,east,4,338.0,618.13,10007.0,-0.2352,-0.1102,0.55,False
east r4,east,4,340.0,618.13,9873.0,-0.238,-0.1102,0.382,False
east r4,east,4,342.0,618.13,9753.0,-0.2406,-0.1102,0.34,False
east r6,east,6,318.0,620.68,12487.0,-0.2063,-0.1138,-0.092,False
east r6,east,6,320.0,620.68,12120.0,-0.2115,-0.1138,-0.078,False
east r6,east,6,322.0,620.68,11780.0,-0.2167,-0.1138,0.129,False
east r6,east,6,324.0,620.68,11473.0,-0.2216,-0.1138,0.486,False
east r6,east,6,326.0,620.68,11193.0,-0.2264,-0.1138,0.573,False
east r6,east,6,328.0,620.68,10940.0,-0.2309,-0.1138,0.652,False
east r6,east,6,330.0,620.68,10720.0,-0.2351,-0.1138,0.667,False
east r6,east,6,332.0,620.68,10513.0,-0.2391,-0.1138,0.686,False
east r6,east,6,334.0,620.68,10327.0,-0.2429,-0.1138,0.704,False
east r6,east,6,336.0,620.68,10160.0,-0.2464,-0.1138,0.662,False
east r6,east,6,338.0,620.68,10013.0,-0.2496,-0.1138,0.544,False
east r6,east,6,340.0,620.68,9880.0,-0.2526,-0.1138,0.377,False
east r6,east,6,342.0,620.68,9760.0,-0.2554,-0.1138,0.335,False
east r7,east,7,318.0,621.98,12487.0,-0.2123,-0.1156,-0.095,False
east r7,east,7,320.0,621.98,12120.0,-0.2177,-0.1156,-0.081,False
east r7,east,7,322.0,621.98,11780.0,-0.223,-0.1156,0.127,False
east r7,east,7,324.0,621.98,11473.0,-0.2281,-0.1156,0.485,False
east r7,east,7,326.0,621.98,11200.0,-0.2329,-0.1156,0.57,False
east r7,east,7,328.0,621.98,10947.0,-0.2376,-0.1156,0.65,False
east r7,east,7,330.0,621.98,10720.0,-0.242,-0.1156,0.664,False
east r7,east,7,332.0,621.98,10513.0,-0.2462,-0.1156,0.683,False
east r7,east,7,334.0,621.98,10327.0,-0.2501,-0.1156,0.702,False
east r7,east,7,336.0,621.98,10160.0,-0.2538,-0.1156,0.66,False
east r7,east,7,338.0,621.98,10013.0,-0.2571,-0.1156,0.542,False
east r7,east,7,340.0,621.98,9880.0,-0.2602,-0.1156,0.374,False
east r7,east,7,342.0,621.98,9760.0,-0.263,-0.1156,0.332,False
east r8,east,8,318.0,623.25,12487.0,-0.2181,-0.1173,-0.098,False
east r8,east,8,320.0,623.25,12120.0,-0.2237,-0.1173,-0.079,False
east r8,east,8,322.0,623.25,11780.0,-0.2292,-0.1173,0.125,False
east r8,east,8,324.0,623.25,11473.0,-0.2345,-0.1173,0.482,False
east r8,east,8,326.0,623.25,11200.0,-0.2394,-0.1173,0.569,False
east r8,east,8,328.0,623.25,10947.0,-0.2443,-0.1173,0.648,False
east r8,east,8,330.0,623.25,10720.0,-0.2488,-0.1173,0.664,False
east r8,east,8,332.0,623.25,10513.0,-0.2531,-0.1173,0.68,False
east r8,east,8,334.0,623.25,10327.0,-0.2572,-0.1173,0.7,False
east r8,east,8,336.0,623.25,10160.0,-0.2609,-0.1173,0.658,False
east r8,east,8,338.0,623.25,10013.0,-0.2643,-0.1173,0.538,False
east r8,east,8,340.0,623.25,9880.0,-0.2675,-0.1173,0.372,False
east r8,east,8,342.0,623.25,9760.0,-0.2705,-0.1173,0.329,False
east r11,east,11,318.0,627.31,12500.0,-0.2365,-0.1226,-0.107,False
east r11,east,11,320.0,627.31,12120.0,-0.2429,-0.1226,-0.087,False
east r11,east,11,322.0,627.31,11780.0,-0.2489,-0.1226,0.117,False
east r11,east,11,324.0,627.31,11480.0,-0.2546,-0.1226,0.475,False
east r11,east,11,326.0,627.31,11200.0,-0.2602,-0.1226,0.562,False
east r11,east,11,328.0,627.31,10947.0,-0.2655,-0.1226,0.64,False
east r11,east,11,330.0,627.31,10720.0,-0.2705,-0.1226,0.657,False
east r11,east,11,332.0,627.31,10520.0,-0.2751,-0.1226,0.672,False
east r11,east,11,334.0,627.31,10333.0,-0.2795,-0.1226,0.693,False
east r11,east,11,336.0,627.31,10160.0,-0.2838,-0.1226,0.65,False
east r11,east,11,338.0,627.31,10013.0,-0.2876,-0.1226,0.529,False
east r11,east,11,340.0,627.31,9880.0,-0.2911,-0.1226,0.362,False
east r11,east,11,342.0,627.31,9760.0,-0.2943,-0.1226,0.321,False
east r12,east,12,318.0,628.75,12500.0,-0.2431,-0.1244,-0.111,False
east r12,east,12,320.0,628.75,12120.0,-0.2497,-0.1244,-0.086,False
east r12,east,12,322.0,628.75,11780.0,-0.2559,-0.1244,0.115,False
east r12,east,12,324.0,628.75,11480.0,-0.2618,-0.1244,0.472,False
east r12,east,12,326.0,628.75,11200.0,-0.2676,-0.1244,0.56,False
east r12,east,12,328.0,628.75,10947.0,-0.273,-0.1244,0.637,False
east r12,east,12,330.0,628.75,10720.0,-0.2782,-0.1244,0.655,False
east r12,east,12,332.0,628.75,10520.0,-0.2829,-0.1244,0.669,False
east r12,east,12,334.0,628.75,10333.0,-0.2875,-0.1244,0.691,False
east r12,east,12,336.0,628.75,10160.0,-0.2919,-0.1244,0.648,False
east r12,east,12,338.0,628.75,10020.0,-0.2956,-0.1244,0.526,False
east r12,east,12,340.0,628.75,9880.0,-0.2994,-0.1244,0.359,False
east r12,east,12,342.0,628.75,9760.0,-0.3028,-0.1244,0.319,False
east r13,east,13,318.0,630.25,12500.0,-0.25,-0.1263,-0.114,False
east r13,east,13,320.0,630.25,12120.0,-0.2568,-0.1263,-0.089,False
east r13,east,13,322.0,630.25,11780.0,-0.2632,-0.1263,0.112,False
east r13,east,13,324.0,630.25,11480.0,-0.2693,-0.1263,0.469,False
east r13,east,13,326.0,630.25,11200.0,-0.2752,-0.1263,0.557,False
east r13,east,13,328.0,630.25,10953.0,-0.2807,-0.1263,0.634,False
east r13,east,13,330.0,630.25,10720.0,-0.2862,-0.1263,0.652,False
east r13,east,13,332.0,630.25,10520.0,-0.2911,-0.1263,0.666,False
east r13,east,13,334.0,630.25,10333.0,-0.2958,-0.1263,0.688,False
east r13,east,13,336.0,630.25,10160.0,-0.3004,-0.1263,0.645,False
east r13,east,13,338.0,630.25,10020.0,-0.3042,-0.1263,0.521,False
east r13,east,13,340.0,630.25,9880.0,-0.3081,-0.1263,0.356,False
east r13,east,13,342.0,630.25,9760.0,-0.3116,-0.1263,0.316,False
east r14,east,14,318.0,631.81,12500.0,-0.2571,-0.1283,-0.118,False
east r14,east,14,320.0,631.81,12120.0,-0.2641,-0.1283,-0.092,False
east r14,east,14,322.0,631.81,11780.0,-0.2708,-0.1283,0.109,False
east r14,east,14,324.0,631.81,11480.0,-0.2771,-0.1283,0.467,False
east r14,east,14,326.0,631.81,11200.0,-0.2832,-0.1283,0.555,False
east r14,east,14,328.0,631.81,10960.0,-0.2887,-0.1283,0.631,False
east r14,east,14,330.0,631.81,10720.0,-0.2945,-0.1283,0.649,False
east r14,east,14,332.0,631.81,10520.0,-0.2996,-0.1283,0.662,False
east r14,east,14,334.0,631.81,10340.0,-0.3043,-0.1283,0.686,False
east r14,east,14,336.0,631.81,10160.0,-0.3092,-0.1283,0.64,False
east r14,east,14,338.0,631.81,10020.0,-0.3131,-0.1283,0.518,False
east r14,east,14,340.0,631.81,9880.0,-0.3172,-0.1283,0.354,False
east r14,east,14,342.0,631.81,9760.0,-0.3208,-0.1283,0.313,False
east r15,east,15,318.0,633.32,12500.0,-0.2641,-0.1301,-0.121,False
east r15,east,15,320.0,633.32,12120.0,-0.2713,-0.1301,-0.087,False
east r15,east,15,322.0,633.32,11780.0,-0.2782,-0.1301,0.106,False
east r15,east,15,324.0,633.32,11480.0,-0.2846,-0.1301,0.464,False
east r15,east,15,326.0,633.32,11200.0,-0.2909,-0.1301,0.552,False
east r15,east,15,328.0,633.32,10960.0,-0.2966,-0.1301,0.628,False
east r15,east,15,330.0,633.32,10720.0,-0.3026,-0.1301,0.646,False
east r15,east,15,332.0,633.32,10520.0,-0.3078,-0.1301,0.659,False
east r15,east,15,334.0,633.32,10340.0,-0.3127,-0.1301,0.683,False
east r15,east,15,336.0,633.32,10167.0,-0.3175,-0.1301,0.637,False
east r15,east,15,338.0,633.32,10020.0,-0.3218,-0.1301,0.515,False
east r15,east,15,340.0,633.32,9880.0,-0.3259,-0.1301,0.351,False
east r15,east,15,342.0,633.32,9767.0,-0.3294,-0.1301,0.31,False
east r16,east,16,318.0,634.69,12500.0,-0.2703,-0.1317,-0.124,False
east r16,east,16,320.0,634.69,12120.0,-0.2778,-0.1317,-0.086,False
east r16,east,16,322.0,634.69,11780.0,-0.2848,-0.1317,0.104,False
east r16,east,16,324.0,634.69,11480.0,-0.2914,-0.1317,0.461,False
east r16,east,16,326.0,634.69,11200.0,-0.2979,-0.1317,0.55,False
east r16,east,16,328.0,634.69,10960.0,-0.3038,-0.1317,0.626,False
east r16,east,16,330.0,634.69,10720.0,-0.3099,-0.1317,0.644,False
east r16,east,16,332.0,634.69,10520.0,-0.3153,-0.1317,0.656,False
east r16,east,16,334.0,634.69,10340.0,-0.3203,-0.1317,0.681,False
east r16,east,16,336.0,634.69,10167.0,-0.3252,-0.1317,0.632,False
east r16,east,16,338.0,634.69,10020.0,-0.3296,-0.1317,0.512,False
east r16,east,16,340.0,634.69,9880.0,-0.3339,-0.1317,0.349,False
east r16,east,16,342.0,634.69,9767.0,-0.3374,-0.1317,0.307,False
east r17,east,17,318.0,636.21,12500.0,-0.2773,-0.1335,-0.128,False
east r17,east,17,320.0,636.21,12120.0,-0.2849,-0.1335,-0.088,False
east r17,east,17,322.0,636.21,11780.0,-0.2922,-0.1335,0.101,False
east r17,east,17,324.0,636.21,11480.0,-0.299,-0.1335,0.457,False
east r17,east,17,326.0,636.21,11200.0,-0.3057,-0.1335,0.547,False
east r17,east,17,328.0,636.21,10960.0,-0.3117,-0.1335,0.623,False
east r17,east,17,330.0,636.21,10720.0,-0.3181,-0.1335,0.642,False
east r17,east,17,332.0,636.21,10520.0,-0.3236,-0.1335,0.652,False
east r17,east,17,334.0,636.21,10340.0,-0.3287,-0.1335,0.678,False
east r17,east,17,336.0,636.21,10167.0,-0.3338,-0.1335,0.629,False
east r17,east,17,338.0,636.21,10020.0,-0.3383,-0.1335,0.508,False
east r17,east,17,340.0,636.21,9880.0,-0.3427,-0.1335,0.346,False
east r17,east,17,342.0,636.21,9767.0,-0.3464,-0.1335,0.304,False
east r18,east,18,318.0,637.61,12500.0,-0.2837,-0.1352,-0.131,False
east r18,east,18,320.0,637.61,12127.0,-0.2914,-0.1352,-0.091,False
