band_key,section,row,az,eye_elev_navd88,canopy_sil_leafoff_deg,canopy_sil_leafon_deg,leaf_state_measured,leaf_on_is
east r1,east,1,318.0,614.8,0.357,2.027,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
east r1,east,1,320.0,614.8,1.686,1.686,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
east r1,east,1,322.0,614.8,0.607,0.919,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
east r1,east,1,324.0,614.8,0.323,0.334,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
east r1,east,1,326.0,614.8,3.144,3.144,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
east r1,east,1,328.0,614.8,5.591,5.591,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
east r1,east,1,330.0,614.8,8.104,8.104,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
east r1,east,1,332.0,614.8,8.082,8.082,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
east r1,east,1,334.0,614.8,7.428,7.428,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
east r1,east,1,336.0,614.8,7.515,7.515,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
east r1,east,1,338.0,614.8,7.666,7.666,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
east r1,east,1,340.0,614.8,6.87,7.009,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
east r1,east,1,342.0,614.8,6.299,7.021,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
east r2,east,2,318.0,615.8,0.641,0.641,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
east r2,east,2,320.0,615.8,1.679,1.679,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
east r2,east,2,322.0,615.8,0.059,0.059,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
east r2,east,2,324.0,615.8,0.541,0.541,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
east r2,east,2,326.0,615.8,3.128,3.128,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
east r2,east,2,328.0,615.8,7.336,7.336,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
east r2,east,2,330.0,615.8,7.736,7.736,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
east r2,east,2,332.0,615.8,6.721,7.049,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
east r2,east,2,334.0,615.8,6.817,6.817,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
east r2,east,2,336.0,615.8,7.453,7.453,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
east r2,east,2,338.0,615.8,6.679,6.819,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
east r2,east,2,340.0,615.8,5.995,6.472,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
east r2,east,2,342.0,615.8,6.156,7.392,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
east r3,east,3,318.0,616.97,0.646,0.826,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
east r3,east,3,320.0,616.97,1.138,1.138,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
east r3,east,3,322.0,616.97,-0.081,0.187,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
east r3,east,3,324.0,616.97,2.72,2.72,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
east r3,east,3,326.0,616.97,4.964,4.964,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
east r3,east,3,328.0,616.97,7.095,7.095,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
east r3,east,3,330.0,616.97,6.582,6.92,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
east r3,east,3,332.0,616.97,6.761,6.761,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
east r3,east,3,334.0,616.97,6.806,6.806,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
east r3,east,3,336.0,616.97,6.855,6.872,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
east r3,east,3,338.0,616.97,6.11,6.252,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
east r3,east,3,340.0,616.97,5.863,6.564,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
east r3,east,3,342.0,616.97,5.701,6.193,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
east r4,east,4,318.0,618.13,0.707,0.928,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
east r4,east,4,320.0,618.13,0.567,0.713,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
east r4,east,4,322.0,618.13,1.543,1.543,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
east r4,east,4,324.0,618.13,2.759,2.759,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
east r4,east,4,326.0,618.13,4.572,4.572,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
east r4,east,4,328.0,618.13,6.188,6.188,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
east r4,east,4,330.0,618.13,5.938,5.938,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
east r4,east,4,332.0,618.13,5.986,6.302,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
east r4,east,4,334.0,618.13,6.621,6.621,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
east r4,east,4,336.0,618.13,5.944,6.107,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
east r4,east,4,338.0,618.13,5.622,5.912,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
east r4,east,4,340.0,618.13,5.008,6.626,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
east r4,east,4,342.0,618.13,5.721,6.103,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
east r6,east,6,318.0,620.68,0.547,0.547,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
east r6,east,6,320.0,620.68,1.815,1.815,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
east r6,east,6,322.0,620.68,1.648,1.663,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
east r6,east,6,324.0,620.68,3.98,3.98,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
east r6,east,6,326.0,620.68,5.079,5.079,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
east r6,east,6,328.0,620.68,5.522,5.522,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
east r6,east,6,330.0,620.68,5.524,5.524,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
east r6,east,6,332.0,620.68,5.618,5.618,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
east r6,east,6,334.0,620.68,5.426,5.461,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
east r6,east,6,336.0,620.68,4.872,5.192,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
east r6,east,6,338.0,620.68,4.217,5.336,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
east r6,east,6,340.0,620.68,4.854,5.309,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
east r6,east,6,342.0,620.68,5.511,5.511,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
east r7,east,7,318.0,621.98,0.237,0.237,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
east r7,east,7,320.0,621.98,1.784,1.833,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
east r7,east,7,322.0,621.98,2.926,2.937,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
east r7,east,7,324.0,621.98,3.614,3.614,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
east r7,east,7,326.0,621.98,4.85,4.85,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
east r7,east,7,328.0,621.98,4.687,4.687,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
east r7,east,7,330.0,621.98,4.802,4.802,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
east r7,east,7,332.0,621.98,5.305,5.332,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
east r7,east,7,334.0,621.98,4.862,4.964,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
east r7,east,7,336.0,621.98,4.159,5.289,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
east r7,east,7,338.0,621.98,3.688,4.808,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
east r7,east,7,340.0,621.98,5.117,5.605,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
east r7,east,7,342.0,621.98,5.397,5.397,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
