band_key,az,blocked_pct
east r1,280.0,100.0
east r1,282.0,100.0
east r1,284.0,100.0
east r1,286.0,100.0
east r1,288.0,100.0
east r1,290.0,100.0
east r1,292.0,100.0
east r1,294.0,100.0
east r1,296.0,100.0
east r1,298.0,100.0
east r1,300.0,100.0
east r1,302.0,100.0
east r1,304.0,100.0
east r1,306.0,100.0
east r1,308.0,100.0
east r1,310.0,100.0
east r1,312.0,100.0
east r1,314.0,100.0
east r1,316.0,100.0
east r1,318.0,100.0
east r1,320.0,100.0
east r1,322.0,100.0
east r1,324.0,100.0
east r1,326.0,100.0
east r1,328.0,100.0
east r1,330.0,100.0
east r1,332.0,100.0
east r1,334.0,100.0
east r1,336.0,100.0
east r1,338.0,100.0
east r1,340.0,100.0
east r1,342.0,100.0
east r1,344.0,100.0
east r1,346.0,100.0
east r1,348.0,100.0
east r1,350.0,100.0
east r1,352.0,100.0
east r1,354.0,100.0
east r1,356.0,100.0
east r1,358.0,100.0
east r1,360.0,100.0
east r2,280.0,100.0
east r2,282.0,100.0
east r2,284.0,100.0
east r2,286.0,100.0
east r2,288.0,100.0
east r2,290.0,100.0
east r2,292.0,100.0
east r2,294.0,100.0
east r2,296.0,100.0
east r2,298.0,100.0
east r2,300.0,100.0
east r2,302.0,100.0
east r2,304.0,100.0
east r2,306.0,100.0
east r2,308.0,100.0
east r2,310.0,100.0
east r2,312.0,100.0
east r2,314.0,100.0
east r2,316.0,100.0
east r2,318.0,100.0
east r2,320.0,100.0
east r2,322.0,100.0
east r2,324.0,100.0
east r2,326.0,100.0
east r2,328.0,100.0
east r2,330.0,100.0
east r2,332.0,100.0
east r2,334.0,100.0
east r2,336.0,100.0
east r2,338.0,100.0
east r2,340.0,100.0
east r2,342.0,100.0
east r2,344.0,100.0
east r2,346.0,100.0
east r2,348.0,100.0
east r2,350.0,100.0
east r2,352.0,100.0
east r2,354.0,100.0
east r2,356.0,100.0
east r2,358.0,100.0
east r2,360.0,100.0
east r3,280.0,100.0
east r3,282.0,100.0
east r3,284.0,100.0
east r3,286.0,100.0
east r3,288.0,100.0
east r3,290.0,100.0
east r3,292.0,100.0
east r3,294.0,100.0
east r3,296.0,100.0
east r3,298.0,100.0
east r3,300.0,100.0
east r3,302.0,100.0
east r3,304.0,100.0
east r3,306.0,100.0
east r3,308.0,100.0
east r3,310.0,100.0
east r3,312.0,100.0
east r3,314.0,100.0
east r3,316.0,100.0
east r3,318.0,100.0
east r3,320.0,100.0
east r3,322.0,100.0
east r3,324.0,100.0
east r3,326.0,100.0
east r3,328.0,100.0
east r3,330.0,100.0
east r3,332.0,100.0
east r3,334.0,100.0
east r3,336.0,100.0
east r3,338.0,100.0
east r3,340.0,100.0
east r3,342.0,100.0
east r3,344.0,100.0
east r3,346.0,100.0
east r3,348.0,100.0
east r3,350.0,100.0
east r3,352.0,100.0
east r3,354.0,100.0
east r3,356.0,100.0
east r3,358.0,100.0
east r3,360.0,100.0
east r4,280.0,100.0
east r4,282.0,100.0
east r4,284.0,100.0
east r4,286.0,100.0
east r4,288.0,100.0
east r4,290.0,100.0
east r4,292.0,100.0
east r4,294.0,100.0
east r4,296.0,100.0
east r4,298.0,100.0
east r4,300.0,100.0
east r4,302.0,100.0
east r4,304.0,100.0
east r4,306.0,100.0
east r4,308.0,100.0
east r4,310.0,100.0
east r4,312.0,100.0
east r4,314.0,100.0
east r4,316.0,100.0
east r4,318.0,100.0
east r4,320.0,100.0
east r4,322.0,100.0
east r4,324.0,100.0
east r4,326.0,100.0
east r4,328.0,100.0
east r4,330.0,100.0
east r4,332.0,100.0
east r4,334.0,100.0
