osm_id,name,building,levels,ue_x,ue_y,ce,cn,area,dist,az,terrain_under_m,base_m,base_minus_terrain_m,top_m,top_ft,h_m,ang_top,obstructs
510501792,Beards Brewery,yes,,6907,1942,19.4,69.1,551,111.9,348.4,188.8,188.7,-0.07,198.7,651.8,10.0,1.17,True
510276684,Petoskey Police Department,yes,,8287,-17864,-178.6,82.9,1119,252.6,299.2,180.3,179.9,-0.39,190.4,624.7,10.5,-1.35,False
510276685,Little Traverse Historical Society,yes,,12185,-6783,-67.8,121.9,631,195.9,326.0,179.9,179.9,0.03,184.4,604.9,4.5,-3.51,False
576959319,,yes,,2881,-11362,-113.6,28.8,407,170.2,294.0,184.3,184.1,-0.22,193.6,635.3,9.6,-0.93,False
576959323,,yes,,2990,-8987,-89.9,29.9,221,149.3,298.1,187.9,186.8,-1.12,196.5,644.7,9.7,0.05,True
557735218,,yes,,8444,-22797,-228.0,84.4,628,297.3,294.9,180.6,180.5,-0.12,188.6,618.8,8.1,-1.5,False
546399785,,yes,,21117,3403,34.0,211.2,392,251.8,358.2,179.5,179.5,-0.04,195.2,640.3,15.7,-0.28,True
465785898,Petoskey Fire Department,yes,,8317,-25206,-252.1,83.2,533,318.8,292.8,180.6,180.7,0.11,186.8,612.7,6.1,-1.73,False
558923134,,yes,,19796,-8683,-86.8,198.0,282,271.0,331.7,178.0,178.0,0.04,183.4,601.7,5.4,-2.75,False
558923136,,yes,,22922,-39087,-390.9,229.2,754,509.9,301.9,179.2,179.0,-0.23,189.7,622.3,10.7,-0.75,False
580285468,,yes,,7708,-28031,-280.3,77.1,267,342.9,290.1,180.3,180.0,-0.32,186.7,612.6,6.7,-1.62,False
558923135,,yes,,21348,-43033,-430.3,213.5,566,536.1,298.3,179.2,179.0,-0.24,189.5,621.8,10.5,-0.73,False
619258609,,yes,,13058,-41238,-412.4,130.6,449,485.4,290.6,180.1,179.9,-0.2,189.0,619.9,9.0,-0.88,False
559216672,,yes,,19087,-38834,-388.3,190.9,265,488.4,298.3,179.0,178.9,-0.06,186.6,612.1,7.6,-1.15,False
580285467,,yes,,10198,-33133,-331.3,102.0,159,399.4,290.9,179.4,179.4,-0.0,183.6,602.4,4.2,-1.83,False
559216673,,yes,,17871,-40779,-407.8,178.7,189,500.2,296.0,179.1,179.0,-0.14,187.1,613.7,8.0,-1.07,False
559216671,,yes,,16576,-42586,-425.9,165.8,195,511.2,293.8,179.1,179.0,-0.06,189.2,620.8,10.2,-0.8,False
559216674,,yes,,19963,-36785,-367.8,199.6,139,474.9,300.4,179.2,179.0,-0.16,183.9,603.5,4.9,-1.5,False
