osm_id,name,type,area_m2,dist_m,az_deg,axis_off_deg,axis_along_m,axis_perp_m,ue_x_N_cm,ue_y_E_cm,live_roof_Z_m,dem_grade_Z_m,height_AGL_m,verdict
342874685,Emmet County Courthouse,yes,5411.5,397.2,74.9,104.9,-101.9,384.0,8657,39336,211.32,204.97,6.35,on-grade
556156000,,commercial,4634.5,305.3,105.2,135.2,-216.5,215.3,-9700,30458,,,,
557735191,,school,3931.6,424.8,143.1,173.1,-421.7,51.3,-35668,26520,,,,
556155996,,retail,3869.8,123.5,74.5,104.5,-30.9,119.6,1593,12892,,,,
556152474,,yes,3240.3,143.5,52.5,82.5,18.7,142.3,7016,12378,,,,
559186794,,yes,2361.7,499.1,195.8,-134.2,-347.8,358.0,-49738,-12622,,,,
557735194,,school,2298.2,318.9,128.0,158.0,-295.7,119.6,-21339,26134,,,,
557735198,Petoskey News Review,yes,2053.7,278.3,149.7,179.7,-278.3,1.6,-25739,15044,,,,
510281291,Perry Hotel,yes,1956.1,365.4,54.8,84.8,33.3,363.8,19359,30835,,,,
557735201,,yes,1823.4,265.9,118.5,148.5,-226.8,138.7,-14423,24346,,,,
556152569,,yes,1753.5,203.8,46.9,76.9,46.2,198.5,12212,15872,,,,
557735215,AT&T Petoskey central office,yes,1714.9,472.3,100.9,130.9,-309.5,356.8,-10677,47360,,,,
559186790,,yes,1702.2,654.7,191.3,-138.7,-491.7,432.3,-65910,-11863,,,,
557735192,,yes,1593.6,345.5,137.0,167.0,-336.6,77.8,-26977,24563,,,,
556867541,,yes,1553.2,431.2,56.9,86.9,23.5,430.5,21844,37104,,,,
557735217,Crooked Tree Arts Center - Petoskey,yes,1508.5,406.0,92.7,122.7,-219.4,341.6,-3632,41543,,,,
557735188,,yes,1438.1,322.6,166.2,-163.8,-309.7,90.0,-33042,8680,,,,
556155993,,yes,1334.1,247.1,69.2,99.2,-39.3,244.0,7076,24088,,,,
1288927372,,yes,1273.1,356.7,93.1,123.1,-194.8,298.8,-3645,36603,,,,
559186793,,yes,1197.2,538.0,195.8,-134.2,-374.9,386.0,-53478,-13693,,,,
510276684,Petoskey Police Dept,yes,1119.5,213.4,297.9,-32.1,180.9,113.3,8287,-17864,193.34,180.26,13.08,on-grade
559186789,,yes,1116.4,612.0,198.5,-131.5,-405.9,458.1,-59769,-18384,,,,
