pair,strategy,accept,net_formal,displaced_seats,rows_below,rows_above,block_balance,natural_rake_pct,band_drop_ft,datum_navd88,cross_slope_pct,long_slope_pct,inner_step_ft,outer_step_ft,total_step_ft,inner_transition,outer_transition,wheelable,ponds,cut_cy,fill_cy,gross_cy,ramp_surcharge_cy,total_section_cy,formal_fail,min_C_mm,gate_sightline,gate_wheelable,gate_steps_resolvable,gate_block_balance,gate_drainage
7-8,accessible_fit,True,1295,157,6,10,0.6,33.1,1.29,619.32,2.0,1.0,1.87,1.87,3.74,ramp_22ft,ramp_22ft,True,False,7.3,43.3,50.6,7.8,58.4,none,90,True,True,True,True,True
7-8,cascade,False,1295,157,6,10,0.6,33.1,1.29,618.68,5.98,0.64,1.3,1.3,2.6,normal_riser,normal_riser,False,False,0.0,0.0,0.0,0.0,0.0,none,90,True,False,True,True,True
7-8,midpoint_datum,False,1295,157,6,10,0.6,33.1,1.29,618.66,0.0,0.0,1.94,1.95,3.89,ramp_23ft,ramp_23ft,True,True,20.7,20.0,40.7,8.4,49.1,none,90,True,True,True,True,False
7-8,preserve_lower,False,1295,157,6,10,0.6,33.1,1.29,618.02,0.0,0.0,1.3,2.59,3.89,normal_riser,ramp_31ft,True,True,43.2,6.5,49.6,7.5,57.1,none,90,True,True,True,True,False
7-8,preserve_upper,False,1295,157,6,10,0.6,33.1,1.29,619.31,0.0,0.0,2.59,1.3,3.89,ramp_31ft,normal_riser,True,True,6.6,42.0,48.6,7.5,56.1,none,90,True,True,True,True,False
8-9,accessible_fit,True,1290,162,7,9,0.78,35.1,1.3,620.65,2.0,1.0,1.87,1.94,3.8,ramp_22ft,ramp_23ft,True,False,7.1,46.6,53.7,8.0,61.7,none,90,True,True,True,True,True
8-9,cascade,False,1290,162,7,9,0.78,35.1,1.3,619.96,5.87,0.64,1.29,1.36,2.65,normal_riser,normal_riser,False,False,0.0,0.0,0.0,0.0,0.0,none,90,True,False,True,True,True
8-9,midpoint_datum,False,1290,162,7,9,0.78,35.1,1.3,619.96,0.0,0.0,1.94,2.01,3.95,ramp_23ft,ramp_24ft,True,True,21.7,21.7,43.4,8.7,52.1,none,90,True,True,True,True,False
8-9,preserve_lower,False,1290,162,7,9,0.78,35.1,1.3,619.31,0.0,0.0,1.29,2.66,3.95,normal_riser,ramp_32ft,True,True,44.6,7.1,51.7,7.9,59.6,none,90,True,True,True,True,False
8-9,preserve_upper,False,1290,162,7,9,0.78,35.1,1.3,620.61,0.0,0.0,2.59,1.36,3.95,ramp_31ft,normal_riser,True,True,6.8,44.2,51.0,7.5,58.5,none,90,True,True,True,True,False
