threshold_deg,scale,comp_id,area_sqft,aspect_ratio,centroid_dist_ft,centroid_az_deg,bbox_h,bbox_w
25,3ft_smooth,1,11072.0,2.0,306.9,331.7,205,410
25,5ft_smooth,2,10928.0,1.99,306.7,331.6,203,404
25,10ft_smooth,3,9492.0,2.01,304.3,329.9,177,356
25,1ft_raw,5,8773.0,2.04,306.8,330.5,205,418
30,3ft_smooth,4,7948.0,2.02,304.0,330.0,189,381
30,5ft_smooth,5,7638.0,2.06,303.8,329.9,180,371
30,1ft_raw,5,6285.0,1.96,306.0,329.6,205,402
30,10ft_smooth,1,6275.0,1.96,302.0,330.6,163,320
25,3ft_smooth,17,3096.0,1.62,402.0,276.1,85,138
25,5ft_smooth,4,3025.0,1.65,402.3,276.0,80,132
25,1ft_raw,764,2671.0,1.57,400.9,276.3,91,143
30,3ft_smooth,16,2364.0,1.64,401.2,275.9,84,138
30,5ft_smooth,6,2245.0,1.68,401.1,275.8,78,131
25,10ft_smooth,4,2094.0,1.83,403.8,275.4,64,117
30,1ft_raw,582,2024.0,1.62,399.2,276.3,88,143
30,10ft_smooth,2,1411.0,1.91,403.1,275.5,58,111
25,3ft_smooth,21,549.0,15.12,459.5,240.2,8,121
25,5ft_smooth,5,498.0,14.25,467.1,240.7,8,114
25,1ft_raw,3064,491.0,11.55,454.7,239.8,11,127
25,3ft_smooth,25,452.0,6.44,487.7,141.4,16,103
25,1ft_raw,3138,436.0,6.11,483.8,141.9,18,110
30,3ft_smooth,23,396.0,16.29,463.3,240.5,7,114
30,1ft_raw,1734,393.0,11.6,459.1,240.2,10,116
30,1ft_raw,1794,373.0,6.24,486.3,141.6,17,106
25,5ft_smooth,8,365.0,5.67,494.1,140.5,15,85
30,3ft_smooth,32,351.0,7.0,490.7,141.0,14,98
25,1ft_raw,3101,306.0,7.6,298.4,193.9,76,10
25,1ft_raw,3121,254.0,2.14,351.7,192.1,47,22
25,3ft_smooth,2,246.0,1.2,418.1,22.0,30,36
25,1ft_raw,279,236.0,1.35,309.1,331.7,46,34
25,3ft_smooth,24,216.0,3.9,351.1,191.9,39,10
25,1ft_raw,11,212.0,1.0,414.5,21.8,36,36
25,1ft_raw,470,212.0,2.82,353.1,292.7,17,48
30,1ft_raw,1778,210.0,5.2,305.9,193.6,52,10
