profile,station_ft,elev_ft,slope_deg
S  (az 180),0.0,610.048,0.98
S  (az 180),1.0,610.065,0.98
S  (az 180),2.0,610.081,0.96
S  (az 180),3.0,610.103,1.24
S  (az 180),4.0,610.109,0.31
S  (az 180),5.0,610.1,0.51
S  (az 180),6.0,610.064,2.03
S  (az 180),7.0,610.023,2.35
S  (az 180),8.0,609.985,2.21
S  (az 180),9.0,609.955,1.71
S  (az 180),10.0,609.945,0.59
S  (az 180),11.0,609.939,0.33
S  (az 180),12.0,609.94,0.05
S  (az 180),13.0,609.913,1.53
S  (az 180),14.0,609.865,2.75
S  (az 180),15.0,609.84,1.45
S  (az 180),16.0,609.825,0.85
S  (az 180),17.0,609.805,1.14
S  (az 180),18.0,609.78,1.42
S  (az 180),19.0,609.808,1.6
S  (az 180),20.0,609.851,2.45
S  (az 180),21.0,609.854,0.19
S  (az 180),22.0,609.861,0.36
S  (az 180),23.0,609.874,0.76
S  (az 180),24.0,609.879,0.26
S  (az 180),25.0,609.901,1.29
S  (az 180),26.0,609.932,1.79
S  (az 180),27.0,609.916,0.94
S  (az 180),28.0,609.898,1.04
S  (az 180),29.0,609.909,0.67
S  (az 180),30.0,609.94,1.79
S  (az 180),31.0,609.951,0.6
S  (az 180),32.0,609.938,0.74
S  (az 180),33.0,609.944,0.36
S  (az 180),34.0,609.962,1.01
S  (az 180),35.0,609.968,0.33
S  (az 180),36.0,609.956,0.64
S  (az 180),37.0,609.958,0.07
S  (az 180),38.0,609.962,0.23
S  (az 180),39.0,609.941,1.2
S  (az 180),40.0,609.918,1.32
S  (az 180),41.0,609.908,0.56
S  (az 180),42.0,609.946,2.2
S  (az 180),43.0,609.952,0.31
S  (az 180),44.0,609.887,3.73
S  (az 180),45.0,609.886,0.05
S  (az 180),46.0,609.915,1.7
S  (az 180),47.0,609.925,0.56
S  (az 180),48.0,609.929,0.2
S  (az 180),49.0,609.925,0.22
S  (az 180),50.0,609.921,0.21
S  (az 180),51.0,609.91,0.62
S  (az 180),52.0,609.91,0.04
S  (az 180),53.0,609.919,0.51
S  (az 180),54.0,609.927,0.49
S  (az 180),55.0,609.962,2.01
S  (az 180),56.0,609.998,2.02
S  (az 180),57.0,609.992,0.34
S  (az 180),58.0,609.984,0.43
S  (az 180),59.0,610.005,1.17
S  (az 180),60.0,610.128,7.01
S  (az 180),61.0,610.343,12.15
S  (az 180),62.0,610.507,9.33
S  (az 180),63.0,610.655,8.4
S  (az 180),64.0,610.773,6.74
S  (az 180),65.0,610.916,8.11
S  (az 180),66.0,611.212,16.53
S  (az 180),67.0,611.447,13.2
S  (az 180),68.0,611.645,11.22
S  (az 180),69.0,611.94,16.41
S  (az 180),70.0,612.253,17.39
S  (az 180),71.0,612.51,14.42
S  (az 180),72.0,612.804,16.39
S  (az 180),73.0,613.156,19.4
S  (az 180),74.0,613.375,12.33
S  (az 180),75.0,613.718,18.93
S  (az 180),76.0,614.036,17.65
