zone,scale,n_cells,median_deg,mean_deg,p90_deg,p95_deg,max_deg,area_gt25_sqft,area_gt30_sqft
S_wall,1ft_raw,3998,19.79,19.47,27.87,30.25,41.35,837.0,218.0
S_wall,3ft_smooth,3998,20.17,18.89,22.05,22.42,23.99,0.0,0.0
S_wall,5ft_smooth,3998,20.23,18.86,21.69,21.88,22.53,0.0,0.0
S_wall,10ft_smooth,3998,20.16,18.7,21.51,21.59,21.76,0.0,0.0
SE_corner,1ft_raw,5999,20.02,20.0,28.6,30.86,40.1,1365.0,386.0
SE_corner,3ft_smooth,5999,19.52,19.46,21.57,22.11,24.32,0.0,0.0
SE_corner,5ft_smooth,5999,19.47,19.42,21.38,21.7,22.86,0.0,0.0
SE_corner,10ft_smooth,5999,19.32,19.29,21.25,21.56,22.08,0.0,0.0
E_flank,1ft_raw,5997,20.1,19.86,29.67,31.78,39.71,1592.0,555.0
E_flank,3ft_smooth,5997,19.54,19.2,20.72,21.05,22.56,0.0,0.0
E_flank,5ft_smooth,5997,19.63,19.18,20.44,20.65,21.62,0.0,0.0
E_flank,10ft_smooth,5997,19.58,19.08,20.26,20.47,20.94,0.0,0.0
upper_E_rim,1ft_raw,4713,17.68,17.37,28.26,30.82,38.65,899.0,312.0
upper_E_rim,3ft_smooth,4713,18.95,16.72,20.37,20.67,22.46,0.0,0.0
upper_E_rim,5ft_smooth,4713,19.07,16.67,20.09,20.28,21.04,0.0,0.0
upper_E_rim,10ft_smooth,4713,18.85,16.49,19.97,20.09,20.7,0.0,0.0
upper_S_rim,1ft_raw,4714,10.34,12.05,23.72,26.63,38.23,364.0,75.0
upper_S_rim,3ft_smooth,4714,10.63,11.57,20.69,21.4,23.17,0.0,0.0
upper_S_rim,5ft_smooth,4714,10.9,11.51,20.49,21.25,22.1,0.0,0.0
upper_S_rim,10ft_smooth,4714,11.27,11.37,20.38,21.15,21.88,0.0,0.0
