id,ax_az,lat_offset,sfx,sfy,bearing_to_aud,ang_mismatch,lat_off_aud,front_row_dist,dist_to_aud,min_c_mm,min_c_row,all_c_pass,audience_face_az,bay_view_delta,bay_blocked,ada_swale,earthwork_delta_cy,notes
az120_lat-30,120.0,-30.0,19533133.50127019,750787.1907621135,172.52897745843634,-52.528977458436344,59.005817015641234,56.28184830338353,74.34636199565679,172.4,18,True,300,-30.0,False,swale(advisory),97.6,C✓ min=172mm | MISMATCH=-53° | BAY-30°(ALERT) | swale(edge)
az120_lat-20,120.0,-20.0,19533128.50127019,750778.5305080756,167.29488894409823,-47.29488894409823,49.00581701555929,48.29092944360953,66.6878189901582,153.9,18,True,300,-30.0,False,swale(advisory),78.7,C✓ min=154mm | MISMATCH=-47° | BAY-30°(ALERT) | swale(edge)
az120_lat-10,120.0,-10.0,19533123.50127019,750769.8702540378,160.77449580815093,-40.77449580815093,39.00581701557816,41.18714950834292,59.725613109916054,136.7,18,True,300,-30.0,False,swale(advisory),61.9,C✓ min=137mm | MISMATCH=-41° | BAY-30°(ALERT) | swale(edge)
az120_lat+0,120.0,0.0,19533118.50127019,750761.21,152.67225723127177,-32.67225723127177,29.005817015597028,35.507023287185824,53.73111315658642,122.1,18,True,300,-30.0,False,swale(advisory),48.4,C✓ min=122mm | MISMATCH=-33° | BAY-30°(ALERT) | swale(edge)
az120_lat+10,120.0,10.0,19533113.50127019,750752.5497459621,142.792619105461,-22.792619105461,19.0058170156159,32.01743463818058,49.06033204877089,111.7,18,True,300,-30.0,False,swale(advisory),38.0,C✓ min=112mm | MISMATCH=-23° | BAY-30°(ALERT) | swale(edge)
az125_lat-30,125.0,-30.0,19533133.364895303,750782.1057395111,171.8707742560033,-46.8707742560033,50.59565543009712,51.21902455193272,69.32681401402563,160.2,18,True,305,-25.0,False,swale(advisory),91.7,C✓ min=160mm | MISMATCH=-47° | BAY-25°(ALERT) | swale(edge)
az125_lat-20,125.0,-20.0,19533127.62913094,750773.9142190682,165.5813315534287,-40.5813315534287,40.595655431053956,43.94010238710005,62.404278961384314,142.8,18,True,305,-25.0,False,swale(advisory),73.0,C✓ min=143mm | MISMATCH=-41° | BAY-25°(ALERT) | swale(edge)
az125_lat-10,125.0,-10.0,19533121.893366575,750765.7226986253,157.84410094816747,-32.844100948167466,30.595655429778674,37.9219820103584,56.412595438902805,128.2,18,True,305,-25.0,False,swale(advisory),56.4,C✓ min=128mm | MISMATCH=-33° | BAY-25°(ALERT) | swale(edge)
az125_lat+0,125.0,0.0,19533116.157602213,750757.5311781825,148.4875133358179,-23.48751333581791,20.59565543073551,33.84406655972935,51.676569308308245,117.5,18,True,305,-25.0,False,swale(advisory),42.5,C✓ min=118mm | MISMATCH=-23° | BAY-25°(ALERT) | swale(edge)
az125_lat+10,125.0,10.0,19533110.42183785,750749.3396577396,137.60186056228758,-12.601860562287584,10.595655431692336,32.446339746827555,48.56495348253904,112.2,18,True,305,-25.0,False,swale(advisory),31.1,C✓ min=112mm | MISMATCH=-13° | BAY-25°(ALERT) | swale(edge)
az130_lat-30,130.0,-30.0,19533132.785850447,750777.0519528092,170.72523422939875,-40.72523422939875,42.028748473677155,46.23285500890875,64.4185648721965,147.4,18,True,310,-20.0,False,swale(advisory),85.6,C✓ min=147mm | MISMATCH=-41° | BAY-20°(ALERT) | swale(edge)
az130_lat-20,130.0,-20.0,19533126.357974347,750769.391508378,163.2675075058286,-33.267507505828604,32.02874847165992,39.86557330926156,58.38815402817395,132.2,18,True,310,-20.0,False,swale(advisory),67.1,C✓ min=132mm | MISMATCH=-33° | BAY-20°(ALERT) | swale(edge)
