feature_id,kind,section,design_elev_ft,terrain_min_ft,terrain_mean_ft,terrain_max_ft,delta_min_ft,delta_max_ft,protrusion_max_ft,protrusion_cells,riser_step_cells,depression_max_ft,depression_cells,footprint_cells,operation,cut_cy,fill_cy,note
tread_bend_r1,seating_tread,bend,610.83,610.09,610.85,611.86,-0.74,1.03,0.7,29,2,0.0,0,217,cut,0.45,0.0,
tread_bend_r2,seating_tread,bend,611.86,610.83,611.87,613.03,-1.03,1.17,0.8,15,17,0.0,0,231,cut,0.23,0.0,
tread_bend_r3,seating_tread,bend,613.03,611.86,613.07,614.17,-1.17,1.14,0.87,9,50,0.0,0,253,cut,0.16,0.0,
tread_bend_r4,seating_tread,bend,614.17,613.03,614.14,615.25,-1.14,1.08,1.08,35,25,0.0,0,255,cut,0.91,0.0,
tread_bend_r6,seating_tread,bend,616.72,615.56,616.79,618.02,-1.16,1.3,0.92,8,28,0.0,0,273,cut,0.18,0.0,
tread_bend_r7,seating_tread,bend,618.02,616.72,618.04,619.31,-1.3,1.29,0.95,17,59,0.0,0,283,cut,0.39,0.0,
tread_bend_r8,seating_tread,bend,619.31,618.02,619.48,622.01,-1.29,2.7,0.82,8,61,0.0,0,294,cut,0.19,0.0,
tread_bend_r11,seating_tread,bend,623.4,622.01,623.44,624.78,-1.39,1.38,0.99,27,39,0.0,0,321,cut,0.66,0.0,
tread_bend_r12,seating_tread,bend,624.78,623.4,624.76,626.3,-1.38,1.52,1.17,46,25,0.0,0,333,cut,1.2,0.0,
tread_bend_r13,seating_tread,bend,626.3,624.78,626.32,627.8,-1.52,1.5,1.0,42,12,0.0,0,347,cut,1.12,0.0,
tread_bend_r14,seating_tread,bend,627.8,626.3,627.81,629.34,-1.5,1.54,1.24,49,9,0.0,0,358,cut,1.35,0.0,
tread_bend_r15,seating_tread,bend,629.34,627.8,629.35,630.75,-1.54,1.41,1.0,30,19,0.0,0,372,cut,0.71,0.0,
tread_bend_r16,seating_tread,bend,630.75,629.34,630.71,632.24,-1.41,1.49,1.15,49,28,0.0,0,380,cut,1.32,0.0,
tread_bend_r17,seating_tread,bend,632.24,630.75,632.26,633.66,-1.49,1.42,1.12,45,13,0.0,0,393,cut,1.19,0.0,
tread_bend_r18,seating_tread,bend,633.66,632.24,633.65,634.77,-1.42,1.11,1.11,56,8,0.0,0,407,cut,1.42,0.0,
tread_east_r1,seating_tread,east,610.86,610.34,610.86,611.38,-0.52,0.52,0.52,16,0,0.0,0,169,cut,0.18,0.0,
tread_east_r2,seating_tread,east,611.86,611.1,611.87,612.82,-0.76,0.96,0.96,19,7,0.0,0,194,cut,0.32,0.0,
tread_east_r3,seating_tread,east,613.03,612.2,613.06,614.19,-0.83,1.16,0.76,18,25,0.0,0,206,cut,0.35,0.0,
tread_east_r4,seating_tread,east,614.19,613.03,614.18,615.28,-1.16,1.09,1.09,28,9,0.0,0,211,cut,0.64,0.0,
tread_east_r6,seating_tread,east,616.74,615.71,616.78,618.04,-1.03,1.3,0.83,12,17,0.0,0,233,cut,0.26,0.0,
tread_east_r7,seating_tread,east,618.04,616.74,618.05,619.31,-1.3,1.27,0.62,7,43,0.0,0,244,cut,0.11,0.0,
tread_east_r8,seating_tread,east,619.31,618.04,619.48,622.01,-1.27,2.7,0.87,4,53,0.0,0,252,cut,0.08,0.0,
tread_east_r11,seating_tread,east,623.37,622.01,623.37,624.81,-1.36,1.44,1.0,13,49,0.0,0,280,cut,0.36,0.0,
tread_east_r12,seating_tread,east,624.81,623.37,624.77,626.31,-1.44,1.5,1.14,30,29,0.0,0,288,cut,0.76,0.0,
tread_east_r13,seating_tread,east,626.31,624.81,626.3,627.87,-1.5,1.56,1.12,31,16,0.0,0,300,cut,0.79,0.0,
tread_east_r14,seating_tread,east,627.87,626.31,627.83,629.38,-1.56,1.51,1.13,40,9,0.0,0,310,cut,0.91,0.0,
tread_east_r15,seating_tread,east,629.38,627.87,629.41,630.75,-1.51,1.37,1.13,15,24,0.0,0,317,cut,0.39,0.0,
tread_east_r16,seating_tread,east,630.75,629.38,630.71,631.94,-1.37,1.19,1.19,42,24,0.0,0,331,cut,1.18,0.0,
tread_east_r17,seating_tread,east,632.27,631.19,632.28,633.67,-1.08,1.4,0.92,26,13,0.0,0,336,cut,0.67,0.0,
tread_east_r18,seating_tread,east,633.67,632.27,633.63,634.86,-1.4,1.19,1.19,42,17,0.0,0,345,cut,1.12,0.0,
tread_south_r1,seating_tread,south,610.81,610.28,610.81,611.31,-0.53,0.5,0.5,16,0,0.0,0,222,cut,0.22,0.0,
tread_south_r2,seating_tread,south,611.87,611.18,611.93,613.03,-0.69,1.16,0.49,6,27,0.0,0,252,cut,0.09,0.0,
tread_south_r3,seating_tread,south,613.03,611.87,613.04,614.19,-1.16,1.16,0.77,8,38,0.0,0,265,cut,0.16,0.0,
tread_south_r4,seating_tread,south,614.19,613.03,614.14,615.28,-1.16,1.09,1.09,39,32,0.0,0,287,cut,1.01,0.0,
tread_south_r6,seating_tread,south,616.73,615.7,616.83,618.06,-1.03,1.33,0.86,2,41,0.0,0,312,cut,0.04,0.0,
tread_south_r7,seating_tread,south,618.06,616.73,618.03,619.3,-1.33,1.24,0.8,12,62,0.0,0,318,cut,0.25,0.0,
tread_south_r8,seating_tread,south,619.3,618.06,619.51,622.01,-1.24,2.71,0.44,1,68,0.0,0,333,cut,0.02,0.0,
tread_south_r11,seating_tread,south,623.38,622.01,623.42,624.8,-1.37,1.42,0.33,2,77,0.0,0,367,cut,0.02,0.0,
tread_south_r12,seating_tread,south,624.8,623.38,624.75,626.3,-1.42,1.5,1.23,28,56,0.0,0,381,cut,0.78,0.0,
