band,row,section,part,station_ft,C_actual_mm,cross_slope_pct,long_slope_pct,plane_resid_ft,grade_break_in,max_cut_ft,max_fill_ft,formal_seat_allowed,failure_reason
bend r1,1,bend,main,3.7,,1.81,0.5,0.0,0.2,0.53,0.64,True,
bend r1,1,bend,main,11.1,,1.89,0.5,0.0,0.2,0.65,0.53,True,
bend r1,1,bend,main,18.5,,1.99,0.5,0.0,0.2,0.27,0.71,True,
bend r1,1,bend,main,25.9,,2.11,0.5,0.0,0.2,0.3,0.8,True,
bend r1,1,bend,main,33.3,,2.29,0.54,0.0,0.2,0.36,0.8,True,
bend r1,1,bend,main,40.7,,2.54,0.66,0.0,0.2,0.37,0.35,False,slope_x2.5/s0.7/d0.00
east r1,1,east,main,3.7,,1.96,0.49,0.0,0.2,0.34,0.29,True,
east r1,1,east,main,11.1,,1.97,0.5,0.0,0.2,0.36,0.45,True,
east r1,1,east,main,18.6,,1.96,0.5,0.0,0.2,0.47,0.5,True,
east r1,1,east,main,26.0,,1.93,0.51,0.0,0.2,0.35,0.52,True,
east r1,1,east,main,33.4,,1.88,0.53,0.0,0.2,0.01,0.87,True,
south r1,1,south,main,4.2,,2.05,0.51,0.0,0.2,0.44,0.51,True,
south r1,1,south,main,12.5,,2.07,0.52,0.0,0.2,0.44,0.4,True,
south r1,1,south,main,20.9,,2.08,0.51,0.0,0.2,0.37,0.38,True,
south r1,1,south,main,29.2,,2.08,0.5,0.0,0.2,0.23,0.4,True,
south r1,1,south,main,37.5,,2.07,0.49,0.0,0.3,0.33,0.37,True,
south r1,1,south,main,45.9,,2.05,0.49,0.0,0.2,0.27,0.41,True,
bend r2,2,bend,main,4.0,195.0,1.8,0.5,0.0,0.2,0.65,0.62,True,
bend r2,2,bend,main,11.9,196.8,1.85,0.5,0.0,0.2,0.64,0.67,True,
bend r2,2,bend,main,19.8,195.6,1.96,0.5,0.0,0.2,0.27,1.02,True,
bend r2,2,bend,main,27.7,200.0,2.12,0.5,0.0,0.2,0.37,1.08,True,
