s_m,s_ft,z_m_navd88,z_ft_navd88
-35.00,-114.83,177.820,583.398
-34.50,-113.19,177.851,583.502
-34.00,-111.55,177.877,583.587
-33.50,-109.91,177.899,583.657
-33.00,-108.27,177.913,583.705
-32.50,-106.63,177.927,583.750
-32.00,-104.99,177.934,583.774
-31.50,-103.35,177.929,583.756
-31.00,-101.71,177.936,583.780
-30.50,-100.07,177.997,583.981
-30.00,-98.43,178.052,584.162
-29.50,-96.78,178.098,584.309
-29.00,-95.14,178.136,584.435
-28.50,-93.50,178.171,584.551
-28.00,-91.86,178.179,584.578
-27.50,-90.22,178.190,584.612
-27.00,-88.58,178.204,584.657
-26.50,-86.94,178.223,584.722
-26.00,-85.30,178.249,584.805
-25.50,-83.66,178.270,584.875
-25.00,-82.02,178.288,584.935
-24.50,-80.38,178.303,584.985
-24.00,-78.74,178.313,585.016
-23.50,-77.10,178.323,585.049
-23.00,-75.46,178.325,585.056
-22.50,-73.82,178.325,585.056
-22.00,-72.18,178.328,585.064
-21.50,-70.54,178.333,585.081
-21.00,-68.90,178.349,585.135
-20.50,-67.26,178.382,585.244
-20.00,-65.62,178.454,585.478
-19.50,-63.98,178.533,585.737
-19.00,-62.34,178.622,586.029
-18.50,-60.70,178.713,586.330
-18.00,-59.06,178.818,586.674
-17.50,-57.41,179.140,587.729
-17.00,-55.77,179.521,588.979
-16.50,-54.13,179.922,590.296
-16.00,-52.49,180.216,591.259
-15.50,-50.85,180.322,591.608
-15.00,-49.21,180.238,591.331
-14.50,-47.57,180.144,591.024
-14.00,-45.93,180.116,590.931
-13.50,-44.29,180.161,591.079
-13.00,-42.65,180.219,591.270
-12.50,-41.01,180.284,591.483
-12.00,-39.37,180.347,591.691
-11.50,-37.73,180.408,591.891
-11.00,-36.09,180.479,592.121
-10.50,-34.45,180.552,592.364
-10.00,-32.81,180.627,592.609
-9.50,-31.17,180.694,592.829
-9.00,-29.53,180.732,592.952
-8.50,-27.89,180.689,592.813
-8.00,-26.25,180.575,592.438
-7.50,-24.61,180.350,591.701
-7.00,-22.97,180.081,590.818
-6.50,-21.33,179.810,589.928
-6.00,-19.69,179.570,589.140
-5.50,-18.04,179.338,588.379
-5.00,-16.40,179.110,587.632
-4.50,-14.76,178.987,587.228
-4.00,-13.12,178.897,586.933
-3.50,-11.48,178.832,586.718
-3.00,-9.84,178.814,586.660
-2.50,-8.20,178.805,586.631
-2.00,-6.56,178.799,586.612
-1.50,-4.92,178.802,586.620
-1.00,-3.28,178.809,586.643
-0.50,-1.64,178.812,586.653
0.00,0.00,178.812,586.655
0.50,1.64,178.813,586.658
1.00,3.28,178.816,586.667
1.50,4.92,178.820,586.680
2.00,6.56,178.836,586.733
2.50,8.20,178.860,586.810
3.00,9.84,178.914,586.990
3.50,11.48,179.041,587.406
4.00,13.12,179.175,587.845
4.50,14.76,179.303,588.265
5.00,16.40,179.426,588.667
5.50,18.04,179.530,589.009
6.00,19.69,179.559,589.103
6.50,21.33,179.585,589.189
7.00,22.97,179.658,589.430
7.50,24.61,179.787,589.852
8.00,26.25,179.944,590.366
8.50,27.89,180.052,590.721
9.00,29.53,180.126,590.966
9.50,31.17,180.178,591.135
10.00,32.81,180.228,591.299
10.50,34.45,180.279,591.467
11.00,36.09,180.419,591.926
11.50,37.73,180.608,592.545
12.00,39.37,180.800,593.175
12.50,41.01,180.836,593.292
13.00,42.65,180.863,593.381
13.50,44.29,180.927,593.592
14.00,45.93,181.055,594.012
14.50,47.57,181.187,594.447
15.00,49.21,181.307,594.839
15.50,50.85,181.414,595.190
16.00,52.49,181.500,595.473
16.50,54.13,181.525,595.556
17.00,55.77,181.550,595.636
17.50,57.41,181.646,595.951
18.00,59.06,181.785,596.407
18.50,60.70,181.915,596.834
19.00,62.34,182.063,597.318
19.50,63.98,182.181,597.707
20.00,65.62,182.247,597.924
20.50,67.26,182.268,597.991
21.00,68.90,182.278,598.025
21.50,70.54,182.275,598.015
22.00,72.18,182.272,598.004
22.50,73.82,182.261,597.969
23.00,75.46,182.249,597.929
23.50,77.10,182.240,597.900
24.00,78.74,182.229,597.863
24.50,80.38,182.208,597.796
25.00,82.02,182.186,597.724
25.50,83.66,182.152,597.612
26.00,85.30,182.117,597.496
26.50,86.94,182.089,597.406
27.00,88.58,182.079,597.373
27.50,90.22,182.066,597.330
28.00,91.86,182.067,597.333
28.50,93.50,182.078,597.367
