azimuth_deg,rise_m,monotonic_frac
0,1.725,1.000
2,1.832,1.000
4,1.881,1.000
6,1.710,1.000
8,1.379,1.000
10,1.063,1.000
12,0.942,1.000
14,0.869,1.000
16,0.829,1.000
18,0.807,1.000
20,0.741,1.000
22,0.683,1.000
24,0.616,0.957
26,0.518,0.935
28,0.777,0.891
30,1.084,0.870
32,1.159,0.804
34,1.116,0.739
36,1.058,0.804
38,0.989,0.826
40,0.940,0.826
42,1.225,0.804
44,1.709,0.761
46,1.963,0.739
48,1.979,0.739
50,1.980,0.761
52,1.989,0.761
54,2.004,0.761
56,2.021,0.804
58,2.027,0.761
60,2.044,0.783
62,2.065,0.783
64,2.088,0.761
66,2.108,0.739
68,2.121,0.739
70,2.134,0.739
72,2.148,0.739
74,2.160,0.761
76,2.171,0.717
78,2.180,0.696
80,2.187,0.717
82,2.193,0.739
84,2.197,0.739
86,2.202,0.717
88,2.212,0.717
90,2.223,0.696
92,2.240,0.696
94,2.264,0.739
96,2.290,0.717
98,2.327,0.739
100,2.367,0.674
102,2.430,0.609
104,2.501,0.630
106,2.578,0.609
108,2.658,0.565
110,2.742,0.543
112,2.830,0.565
114,2.922,0.543
116,3.016,0.457
118,3.094,0.500
120,2.785,0.522
122,2.289,0.565
124,2.270,0.652
126,2.394,0.674
128,2.498,0.696
130,2.528,0.674
132,2.630,0.717
134,2.792,0.739
136,2.837,0.804
138,2.882,0.848
140,3.070,0.826
142,3.270,0.848
144,3.423,0.848
146,3.525,0.848
148,3.586,0.848
150,3.549,0.848
152,3.594,0.848
154,3.577,0.848
156,3.592,0.826
158,3.596,0.804
160,3.620,0.848
162,3.668,0.826
164,3.736,0.826
166,3.783,0.826
168,3.831,0.870
170,3.849,0.848
172,3.844,0.848
174,3.825,0.848
176,3.809,0.848
178,3.792,0.848
180,3.785,0.848
182,3.786,0.848
184,3.769,0.848
186,3.732,0.804
188,2.855,0.804
190,1.777,0.783
192,1.341,0.804
194,1.030,0.848
196,0.764,0.891
198,0.723,0.891
200,0.581,0.957
202,0.481,0.957
204,0.394,0.935
206,0.445,0.891
208,0.464,0.935
210,0.488,0.935
212,0.533,0.957
214,0.550,0.957
216,0.569,0.957
218,0.531,0.957
220,0.483,0.957
222,0.453,0.957
224,0.435,0.978
226,0.415,0.957
228,0.391,0.957
230,0.350,0.957
232,0.284,1.000
234,0.226,1.000
236,0.208,1.000
238,0.210,1.000
240,0.233,1.000
242,0.278,1.000
244,0.308,1.000
246,0.511,1.000
248,0.766,1.000
250,0.985,1.000
252,1.080,1.000
254,1.196,1.000
256,1.221,1.000
258,1.192,1.000
260,1.161,1.000
262,1.124,1.000
264,1.105,1.000
266,1.118,1.000
268,1.145,1.000
270,1.169,1.000
272,1.205,1.000
274,1.251,1.000
276,1.242,1.000
278,1.232,1.000
280,1.235,1.000
282,1.261,1.000
284,1.263,1.000
286,1.287,1.000
288,1.338,1.000
290,1.384,0.957
292,1.420,0.978
294,1.429,0.978
296,1.444,1.000
298,1.457,1.000
300,1.469,1.000
302,1.493,1.000
304,1.521,1.000
306,1.529,1.000
308,1.508,1.000
310,1.478,1.000
312,1.577,1.000
314,1.683,1.000
316,1.769,1.000
318,1.838,1.000
320,1.918,1.000
322,2.001,1.000
324,2.053,1.000
326,2.041,1.000
328,2.034,1.000
330,2.053,1.000
332,2.075,1.000
334,2.025,1.000
336,2.076,1.000
338,2.129,1.000
340,2.112,1.000
342,2.057,1.000
344,2.006,1.000
346,1.861,1.000
348,1.668,1.000
350,1.535,1.000
352,1.478,1.000
354,1.472,1.000
356,1.522,1.000
358,1.621,1.000
