azimuth_deg,rise_m,monotonic_frac
0,2.129,0.756
2,1.739,0.722
4,1.974,0.833
6,1.942,0.711
8,1.923,0.656
10,1.701,0.700
12,1.280,0.722
14,1.335,0.767
16,1.405,0.744
18,1.618,0.789
20,1.957,0.789
22,2.210,0.678
24,3.204,0.622
26,3.747,0.644
28,3.689,0.633
30,3.452,0.700
32,2.948,0.744
34,1.898,0.689
36,1.850,0.689
38,1.906,0.700
40,1.986,0.711
42,2.120,0.756
44,2.317,0.789
46,2.486,0.767
48,2.700,0.733
50,2.705,0.711
52,2.674,0.678
54,2.555,0.744
56,2.337,0.822
58,2.163,0.811
60,2.012,0.833
62,1.944,0.867
64,1.898,0.800
66,2.470,0.756
68,2.721,0.656
70,2.785,0.700
72,2.731,0.722
74,2.471,0.733
76,2.005,0.856
78,1.799,0.867
80,1.732,0.833
82,1.615,0.767
84,1.936,0.711
86,2.541,0.722
88,2.932,0.733
90,3.196,0.767
92,3.172,0.744
94,2.618,0.844
96,2.233,0.789
98,1.890,0.767
100,1.452,0.811
102,1.386,0.822
104,1.607,0.867
106,2.076,0.878
108,2.607,0.856
110,2.641,0.844
112,2.709,0.811
114,3.020,0.711
116,3.132,0.722
118,3.297,0.689
120,3.947,0.678
122,4.181,0.733
124,5.027,0.722
126,5.630,0.756
128,5.621,0.767
130,4.928,0.789
132,3.812,0.822
134,3.928,0.822
136,3.495,0.811
138,3.155,0.856
140,2.935,0.889
142,3.093,0.844
144,3.234,0.856
146,3.407,0.856
148,3.302,0.856
150,2.881,0.833
152,2.673,0.867
154,2.590,0.778
156,3.378,0.733
158,4.192,0.767
160,4.382,0.722
162,4.243,0.733
164,2.844,0.767
166,2.480,0.767
168,2.502,0.767
170,2.493,0.822
172,2.491,0.844
174,2.453,0.922
176,2.401,0.889
178,2.362,0.922
180,2.375,0.956
182,2.429,0.944
184,2.405,0.956
186,2.350,0.956
188,2.347,0.956
190,2.366,0.956
192,2.409,0.967
194,2.363,0.956
196,2.359,0.956
198,2.386,0.944
200,2.382,0.967
202,2.377,0.967
204,2.415,0.967
206,2.366,0.956
208,2.316,0.967
210,2.321,0.967
212,2.387,0.978
214,2.408,0.967
216,2.482,0.956
218,2.695,0.978
220,2.895,0.911
222,3.040,0.867
224,3.126,0.844
226,3.057,0.844
228,3.297,0.878
230,3.295,0.878
232,3.301,0.911
234,3.211,0.900
236,3.170,0.822
238,3.138,0.833
240,2.840,0.822
242,2.364,0.878
244,1.923,0.844
246,1.618,0.844
248,1.340,0.867
250,1.100,0.900
252,0.833,0.967
254,0.689,0.967
256,0.739,0.989
258,0.971,0.933
260,1.158,0.922
262,1.105,0.956
264,0.995,0.978
266,1.103,1.000
268,1.288,1.000
270,1.488,1.000
272,1.558,1.000
274,1.467,1.000
276,1.421,0.967
278,1.328,0.978
280,1.275,0.944
282,1.148,1.000
284,1.127,1.000
286,1.168,1.000
288,1.134,1.000
290,1.054,1.000
292,1.059,1.000
294,0.962,1.000
296,0.942,1.000
298,1.186,1.000
300,1.426,1.000
302,1.632,1.000
304,1.993,1.000
306,2.492,1.000
308,3.055,1.000
310,3.661,1.000
312,4.246,1.000
314,4.906,1.000
316,5.406,1.000
318,5.735,1.000
320,5.801,0.967
322,5.654,0.933
324,5.371,0.933
326,5.111,0.889
328,4.908,0.778
330,4.536,0.678
332,4.072,0.667
334,3.750,0.622
336,3.353,0.567
338,2.929,0.544
340,2.651,0.567
342,2.367,0.622
344,2.070,0.667
346,1.741,0.711
348,1.358,0.744
350,1.443,0.700
352,1.790,0.722
354,2.079,0.767
356,2.191,0.767
358,2.252,0.767
