s_m,s_ft,z_m_navd88,z_ft_navd88
-35.00,-114.83,55.220,181.169
-34.50,-113.19,55.217,181.158
-34.00,-111.55,55.214,181.149
-33.50,-109.91,55.212,181.143
-33.00,-108.27,55.214,181.148
-32.50,-106.63,55.218,181.163
-32.00,-104.99,55.225,181.184
-31.50,-103.35,55.233,181.212
-31.00,-101.71,55.247,181.256
-30.50,-100.07,55.266,181.318
-30.00,-98.43,55.287,181.387
-29.50,-96.78,55.310,181.462
-29.00,-95.14,55.330,181.528
-28.50,-93.50,55.347,181.584
-28.00,-91.86,55.362,181.633
-27.50,-90.22,55.374,181.674
-27.00,-88.58,55.383,181.703
-26.50,-86.94,55.388,181.719
-26.00,-85.30,55.388,181.719
-25.50,-83.66,55.381,181.697
-25.00,-82.02,55.370,181.660
-24.50,-80.38,55.352,181.602
-24.00,-78.74,55.332,181.536
-23.50,-77.10,55.309,181.460
-23.00,-75.46,55.285,181.381
-22.50,-73.82,55.260,181.299
-22.00,-72.18,55.235,181.216
-21.50,-70.54,55.209,181.131
-21.00,-68.90,55.183,181.046
-20.50,-67.26,55.157,180.963
-20.00,-65.62,55.132,180.881
-19.50,-63.98,55.108,180.801
-19.00,-62.34,55.084,180.722
-18.50,-60.70,55.061,180.647
-18.00,-59.06,55.039,180.574
-17.50,-57.41,55.016,180.500
-17.00,-55.77,54.994,180.425
-16.50,-54.13,54.970,180.349
-16.00,-52.49,54.947,180.272
-15.50,-50.85,54.923,180.194
-15.00,-49.21,54.899,180.116
-14.50,-47.57,54.875,180.037
-14.00,-45.93,54.851,179.958
-13.50,-44.29,54.827,179.879
-13.00,-42.65,54.803,179.800
-12.50,-41.01,54.780,179.723
-12.00,-39.37,54.756,179.644
-11.50,-37.73,54.730,179.562
-11.00,-36.09,54.705,179.479
-10.50,-34.45,54.680,179.396
-10.00,-32.81,54.654,179.312
-9.50,-31.17,54.628,179.225
-9.00,-29.53,54.602,179.140
-8.50,-27.89,54.579,179.065
-8.00,-26.25,54.556,178.990
-7.50,-24.61,54.532,178.910
-7.00,-22.97,54.507,178.829
-6.50,-21.33,54.482,178.745
-6.00,-19.69,54.457,178.664
-5.50,-18.04,54.434,178.589
-5.00,-16.40,54.411,178.513
-4.50,-14.76,54.389,178.441
-4.00,-13.12,54.365,178.363
-3.50,-11.48,54.338,178.273
-3.00,-9.84,54.308,178.176
-2.50,-8.20,54.272,178.057
-2.00,-6.56,54.243,177.964
-1.50,-4.92,54.238,177.946
-1.00,-3.28,54.235,177.935
-0.50,-1.64,54.241,177.955
0.00,0.00,54.249,177.982
0.50,1.64,54.265,178.035
1.00,3.28,54.281,178.088
1.50,4.92,54.296,178.135
2.00,6.56,54.311,178.184
2.50,8.20,54.327,178.240
3.00,9.84,54.344,178.293
3.50,11.48,54.359,178.343
4.00,13.12,54.374,178.393
4.50,14.76,54.389,178.442
5.00,16.40,54.404,178.489
5.50,18.04,54.417,178.533
6.00,19.69,54.430,178.578
6.50,21.33,54.445,178.625
7.00,22.97,54.460,178.674
7.50,24.61,54.481,178.743
8.00,26.25,54.510,178.840
8.50,27.89,54.603,179.143
9.00,29.53,54.703,179.472
9.50,31.17,54.866,180.007
10.00,32.81,55.021,180.515
10.50,34.45,55.098,180.769
11.00,36.09,55.169,181.001
11.50,37.73,55.171,181.009
12.00,39.37,55.178,181.030
12.50,41.01,55.233,181.210
13.00,42.65,55.295,181.416
13.50,44.29,55.465,181.972
14.00,45.93,55.637,182.535
14.50,47.57,55.834,183.181
15.00,49.21,56.027,183.817
15.50,50.85,56.169,184.282
16.00,52.49,56.310,184.745
16.50,54.13,56.436,185.157
17.00,55.77,56.563,185.573
17.50,57.41,56.693,186.002
18.00,59.06,56.825,186.433
18.50,60.70,56.952,186.849
19.00,62.34,57.078,187.263
19.50,63.98,57.184,187.611
20.00,65.62,57.289,187.956
20.50,67.26,57.355,188.173
21.00,68.90,57.420,188.386
21.50,70.54,57.543,188.790
22.00,72.18,57.670,189.205
22.50,73.82,57.857,189.819
23.00,75.46,58.043,190.431
23.50,77.10,58.211,190.980
24.00,78.74,58.377,191.525
24.50,80.38,58.705,192.603
25.00,82.02,59.045,193.717
25.50,83.66,59.247,194.379
26.00,85.30,59.438,195.008
26.50,86.94,59.601,195.542
27.00,88.58,59.762,196.070
27.50,90.22,59.928,196.616
28.00,91.86,60.095,197.162
28.50,93.50,60.262,197.710
29.00,95.14,60.429,198.258
29.50,96.78,60.613,198.862
30.00,98.43,60.799,199.471
30.50,100.07,60.952,199.974
31.00,101.71,61.101,200.462
31.50,103.35,61.261,200.987
32.00,104.99,61.422,201.517
32.50,106.63,61.584,202.048
33.00,108.27,61.746,202.580
33.50,109.91,61.915,203.134
34.00,111.55,62.085,203.692
34.50,113.19,62.260,204.266
35.00,114.83,62.437,204.845
35.50,116.47,62.630,205.480
36.00,118.11,62.827,206.126
36.50,119.75,62.982,206.634
37.00,121.39,63.127,207.109
37.50,123.03,63.263,207.557
38.00,124.67,63.400,208.004
38.50,126.31,63.676,208.912
39.00,127.95,63.987,209.932
39.50,129.59,64.236,210.747
40.00,131.23,64.468,211.510
40.50,132.87,64.652,212.113
41.00,134.51,64.823,212.674
41.50,136.15,64.990,213.221
42.00,137.80,65.155,213.763
42.50,139.44,65.321,214.306
43.00,141.08,65.486,214.849
43.50,142.72,65.654,215.400
44.00,144.36,65.823,215.953
44.50,146.00,65.989,216.500
45.00,147.64,66.155,217.044
45.50,149.28,66.319,217.581
46.00,150.92,66.482,218.115
46.50,152.56,66.644,218.649
47.00,154.20,66.807,219.182
47.50,155.84,66.980,219.749
48.00,157.48,67.157,220.332
48.50,159.12,67.331,220.904
49.00,160.76,67.504,221.471
49.50,162.40,67.633,221.892
50.00,164.04,67.741,222.247
50.50,165.68,67.851,222.609
51.00,167.32,67.963,222.975
51.50,168.96,68.145,223.574
52.00,170.60,68.363,224.287
52.50,172.24,68.608,225.093
53.00,173.88,68.867,225.943
53.50,175.52,69.112,226.744
54.00,177.17,69.348,227.519
54.50,178.81,69.600,228.347
55.00,180.45,69.862,229.205
55.50,182.09,70.218,230.374
56.00,183.73,70.630,231.726
56.50,185.37,70.987,232.899
57.00,187.01,71.310,233.956
