azimuth_deg,rise_m,monotonic_frac
0,20.628,0.982
2,20.949,1.000
4,21.421,1.000
6,21.761,1.000
8,19.823,1.000
10,17.614,1.000
12,15.628,0.991
14,13.690,0.945
16,13.472,0.909
18,13.607,0.918
20,14.427,0.936
22,14.855,0.936
24,15.241,0.936
26,16.560,0.891
28,18.045,0.900
30,18.886,0.918
32,19.584,0.927
34,19.374,0.936
36,19.850,0.945
38,20.624,0.982
40,21.164,1.000
42,20.990,1.000
44,20.619,1.000
46,20.393,1.000
48,20.790,1.000
50,21.247,1.000
52,22.442,1.000
54,23.459,1.000
56,24.399,1.000
58,25.241,1.000
60,26.744,1.000
62,28.019,1.000
64,28.397,1.000
66,28.269,1.000
68,27.979,1.000
70,27.555,1.000
72,26.911,1.000
74,25.846,1.000
76,24.816,0.973
78,23.904,0.955
80,23.090,0.909
82,22.504,0.891
84,21.865,0.882
86,21.412,0.864
88,21.032,0.855
90,20.732,0.818
92,20.215,0.818
94,19.806,0.800
96,19.234,0.800
98,18.670,0.800
100,18.177,0.782
102,17.482,0.791
104,16.871,0.782
106,16.260,0.755
108,15.725,0.755
110,15.338,0.764
112,15.045,0.755
114,14.793,0.736
116,14.086,0.745
118,13.630,0.764
120,13.361,0.764
122,13.117,0.700
124,13.059,0.709
126,12.269,0.727
128,11.518,0.745
130,10.795,0.827
132,10.262,0.864
134,9.621,0.900
136,9.206,0.900
138,8.500,0.900
140,7.614,0.900
142,6.693,0.918
144,5.913,0.855
146,5.540,0.791
148,5.876,0.773
150,6.028,0.700
152,5.910,0.609
154,5.645,0.582
156,5.559,0.573
158,6.195,0.664
160,6.518,0.800
162,7.155,0.891
164,8.088,0.900
166,9.279,0.727
168,10.192,0.591
170,10.731,0.482
172,10.660,0.518
174,10.954,0.436
176,11.887,0.391
178,12.177,0.518
180,11.678,0.500
182,10.698,0.545
184,9.208,0.600
186,8.157,0.536
188,7.390,0.355
190,7.451,0.300
192,7.958,0.291
194,8.442,0.355
196,7.176,0.464
198,4.810,0.500
200,2.596,0.491
202,3.434,0.518
204,3.991,0.564
206,3.279,0.655
208,3.258,0.709
210,4.112,0.809
212,4.922,0.836
214,5.289,0.845
216,5.528,0.827
218,5.903,0.791
220,6.422,0.800
222,7.124,0.791
224,7.976,0.764
226,8.723,0.755
228,9.426,0.745
230,10.149,0.791
232,11.101,0.809
234,11.975,0.809
236,12.533,0.845
238,13.004,0.873
240,13.917,0.882
242,13.967,0.973
244,13.868,1.000
246,13.981,1.000
248,13.885,1.000
250,13.959,1.000
252,14.919,1.000
254,16.167,0.973
256,17.252,0.982
258,17.783,1.000
260,18.632,1.000
262,19.529,1.000
264,19.960,1.000
266,20.520,1.000
268,21.201,1.000
270,22.022,1.000
272,22.797,1.000
274,23.398,1.000
276,24.044,1.000
278,24.669,1.000
280,25.326,1.000
282,25.414,1.000
284,25.423,1.000
286,25.566,1.000
288,25.717,1.000
290,26.161,1.000
292,26.836,1.000
294,27.593,1.000
296,28.246,1.000
298,28.170,1.000
300,27.408,1.000
302,27.603,1.000
304,28.263,1.000
306,29.591,1.000
308,29.654,1.000
310,28.872,1.000
312,28.468,1.000
314,28.573,1.000
316,28.299,1.000
318,28.273,1.000
320,28.448,1.000
322,29.251,1.000
324,30.282,1.000
326,30.687,1.000
328,30.218,1.000
330,30.106,1.000
332,30.023,1.000
334,29.458,1.000
336,28.811,1.000
338,28.143,1.000
340,27.163,1.000
342,26.375,1.000
344,25.558,1.000
346,25.209,1.000
348,24.739,1.000
350,24.223,1.000
352,23.700,1.000
354,22.830,1.000
356,21.854,1.000
358,20.843,0.991
