row,zone,kind,elev,centreline_C_mm,perseat_C10_mm,pct_pass,band_centreline,band_perseat
1,forecourt,seating,610.81,,,,formal,formal
2,forecourt,seating,611.87,198.0,,,formal,formal
3,forecourt,seating,613.03,220.0,,,formal,formal
4,forecourt,seating,614.19,207.0,,,formal,formal
5,civic,promenade,615.46,,,,,
6,civic,seating,616.73,436.0,379,100,formal,formal
7,civic,seating,618.06,211.0,214,100,formal,formal
8,civic,seating,619.3,189.0,171,100,formal,formal
9,civic,seating,620.59,188.0,183,100,formal,formal
10,civic,seating,621.97,180.0,177,100,formal,formal
11,civic,seating,623.38,176.0,180,100,formal,formal
12,civic,seating,624.8,172.0,175,100,formal,formal
13,civic,seating,626.3,192.0,147,100,formal,formal
14,civic,seating,627.84,152.0,167,100,formal,formal
15,civic,seating,629.34,144.0,146,100,formal,formal
16,civic,seating,630.75,142.0,140,100,formal,formal
17,civic,seating,632.3,117.0,137,100,formal,formal
18,civic,seating,633.67,104.0,97,100,formal,formal
19,civic,seating,635.08,86.0,93,95,soft,formal
20,civic,seating,636.48,55.0,59,54,marginal,marginal
21,civic,seating,637.72,31.0,25,11,marginal,rim
22,civic,seating,638.9,44.0,35,9,marginal,marginal
23,civic,seating,640.07,7.0,22,0,rim,rim
24,civic,seating,641.37,42.0,21,2,marginal,rim
25,civic,seating,642.38,28.0,-36,0,rim,rim
