row,zone,kind,section,elev,length_ft,seats,cross_angle_deg,z_resid_ft,C_mm,sees_bay
1,forecourt,seating,east,610.86,37.1,16,5.6,0.12,,False
1,forecourt,seating,bend,610.83,44.4,19,9.5,0.17,,False
1,forecourt,seating,south,610.81,50.1,22,2.2,0.07,,False
2,forecourt,seating,east,611.86,40.2,18,1.3,0.13,198,False
2,forecourt,seating,bend,611.86,47.4,21,8.3,0.23,198,False
2,forecourt,seating,south,611.87,53.0,23,2.4,0.13,198,False
3,forecourt,seating,east,613.03,42.3,18,2.2,0.21,220,False
3,forecourt,seating,bend,613.03,50.1,22,7.3,0.28,220,False
3,forecourt,seating,south,613.03,56.8,25,2.4,0.1,220,False
4,forecourt,seating,east,614.19,43.6,19,2.2,0.21,207,False
4,forecourt,seating,bend,614.17,51.7,23,7.8,0.2,207,False
4,forecourt,seating,south,614.19,60.0,26,2.7,0.17,207,False
5,civic,promenade,east,615.48,45.6,0,1.6,0.19,,True
5,civic,promenade,bend,615.41,53.7,0,5.4,0.26,,True
5,civic,promenade,south,615.46,62.1,0,3.0,0.21,,True
6,civic,seating,east,616.74,48.6,21,2.1,0.27,436,True
6,civic,seating,bend,616.72,55.5,24,4.6,0.22,436,True
6,civic,seating,south,616.73,65.1,29,2.6,0.14,436,True
7,civic,seating,east,618.04,50.7,22,1.8,0.24,211,True
7,civic,seating,bend,618.02,57.3,25,4.4,0.23,211,True
7,civic,seating,south,618.06,67.1,30,1.5,0.16,211,True
8,civic,seating,east,619.31,51.7,23,1.3,0.17,189,True
8,civic,seating,bend,619.31,59.0,26,5.8,0.25,189,True
8,civic,seating,south,619.3,70.2,31,1.6,0.16,189,True
9,civic,seating,east,620.58,53.5,23,1.7,0.2,188,True
9,civic,seating,bend,620.61,60.7,27,6.3,0.24,188,True
9,civic,seating,south,620.59,73.1,32,1.6,0.16,188,True
10,civic,seating,east,621.97,55.8,25,2.2,0.18,180,True
10,civic,seating,bend,621.97,62.9,28,5.0,0.18,180,True
10,civic,seating,south,621.97,76.1,34,2.3,0.15,180,True
11,civic,seating,east,623.37,57.8,25,2.0,0.22,176,True
11,civic,seating,bend,623.4,64.8,29,4.8,0.18,176,True
11,civic,seating,south,623.38,78.1,34,2.0,0.16,176,True
12,civic,seating,east,624.81,59.8,26,1.9,0.22,172,True
12,civic,seating,bend,624.78,66.9,29,4.4,0.23,172,True
12,civic,seating,south,624.8,81.2,36,2.2,0.22,172,True
13,civic,seating,east,626.31,61.9,27,1.8,0.21,192,True
13,civic,seating,bend,626.3,69.7,31,3.5,0.16,192,True
13,civic,seating,south,626.3,84.1,37,2.8,0.23,192,True
14,civic,seating,east,627.87,64.0,28,2.0,0.19,152,True
14,civic,seating,bend,627.8,72.4,32,3.8,0.16,152,True
14,civic,seating,south,627.84,87.2,39,2.7,0.17,152,True
15,civic,seating,east,629.38,65.9,29,2.2,0.22,144,True
15,civic,seating,bend,629.34,75.3,33,4.1,0.21,144,True
15,civic,seating,south,629.34,90.2,40,1.9,0.19,144,True
