row,k,family,kind,elev,dist,C_mm,sees_bay,grade_resid,core_len,bay_len,lawn_len,core_seats,bay_seats
1,-4,forecourt,seating,611.57,35.2,,False,0.68,146.7,37.1,26.4,65,16
2,-3,forecourt,seating,612.36,38.2,150,False,0.86,151.3,37.1,26.3,67,16
3,-2,forecourt,seating,613.26,41.2,170,False,0.99,155.9,37.0,26.2,69,16
4,-1,forecourt,seating,614.22,44.2,176,False,1.07,160.4,37.0,26.1,71,16
5,0,promenade,promenade,615.16,47.2,,True,1.15,165.0,37.0,26.0,0,0
6,1,lower,seating,616.14,50.2,309,True,1.15,169.6,37.0,25.9,75,16
7,2,lower,seating,617.15,53.2,160,True,1.19,174.1,37.0,25.8,78,16
8,3,lower,seating,618.18,56.2,157,True,1.21,178.7,37.0,25.7,80,16
9,4,middle,seating,619.22,59.2,152,True,1.22,183.3,36.9,25.6,82,16
10,5,middle,seating,620.3,62.2,157,True,1.3,187.9,36.9,25.5,84,16
11,6,middle,seating,621.39,65.2,152,True,1.37,192.4,36.9,25.4,86,16
12,7,middle,seating,622.49,68.2,149,True,1.53,197.0,36.9,25.3,88,16
13,8,upper,seating,623.62,71.2,151,True,1.47,201.6,36.9,25.2,90,16
14,9,upper,seating,624.74,74.2,142,True,1.61,206.1,36.9,25.2,92,16
15,10,upper,seating,625.87,77.2,139,True,1.73,210.7,36.9,25.0,94,16
16,11,upper,seating,627.03,80.2,143,True,1.77,215.3,36.8,25.0,96,16
17,12,upper,seating,628.19,83.2,138,True,1.97,219.9,36.8,24.9,98,16
