op_id,feature_id,kind,source_geometry,operation,before_elev_ft,after_elev_ft,design_plate_ft,protrusion_before_ft,protrusion_after_ft,overflow_cells_before,overflow_cells_after,volume_cy,validation,note
OP001,tread_bend_r1,seating_tread,unreal_export/geo/seating_rows.geojson,cut,611.86,611.86,610.83,0.7,0.0,29,0,0.45,PASS,retained-ground fringe (all_touched=False) cut to the flat plate; perimeter also filled where below plate
OP002,tread_bend_r2,seating_tread,unreal_export/geo/seating_rows.geojson,cut,613.03,613.03,611.86,0.8,0.0,15,0,0.23,PASS,retained-ground fringe (all_touched=False) cut to the flat plate; perimeter also filled where below plate
OP003,tread_bend_r3,seating_tread,unreal_export/geo/seating_rows.geojson,cut,614.17,614.17,613.03,0.87,0.0,9,0,0.16,PASS,retained-ground fringe (all_touched=False) cut to the flat plate; perimeter also filled where below plate
OP004,tread_bend_r4,seating_tread,unreal_export/geo/seating_rows.geojson,cut,615.25,614.17,614.17,1.08,0.0,35,0,0.91,PASS,retained-ground fringe (all_touched=False) cut to the flat plate; perimeter also filled where below plate
OP005,tread_bend_r6,seating_tread,unreal_export/geo/seating_rows.geojson,cut,618.02,618.02,616.72,0.92,0.0,8,0,0.18,PASS,retained-ground fringe (all_touched=False) cut to the flat plate; perimeter also filled where below plate
OP006,tread_bend_r7,seating_tread,unreal_export/geo/seating_rows.geojson,cut,619.31,619.31,618.02,0.95,0.0,17,0,0.39,PASS,retained-ground fringe (all_touched=False) cut to the flat plate; perimeter also filled where below plate
OP007,tread_bend_r8,seating_tread,unreal_export/geo/seating_rows.geojson,cut,622.01,622.01,619.31,0.82,0.0,8,0,0.19,PASS,retained-ground fringe (all_touched=False) cut to the flat plate; perimeter also filled where below plate
OP008,tread_bend_r11,seating_tread,unreal_export/geo/seating_rows.geojson,cut,624.78,624.78,623.4,0.99,0.0,27,0,0.66,PASS,retained-ground fringe (all_touched=False) cut to the flat plate; perimeter also filled where below plate
OP009,tread_bend_r12,seating_tread,unreal_export/geo/seating_rows.geojson,cut,626.3,626.3,624.78,1.17,0.0,46,0,1.2,PASS,retained-ground fringe (all_touched=False) cut to the flat plate; perimeter also filled where below plate
OP010,tread_bend_r13,seating_tread,unreal_export/geo/seating_rows.geojson,cut,627.8,627.8,626.3,1.0,0.0,42,0,1.12,PASS,retained-ground fringe (all_touched=False) cut to the flat plate; perimeter also filled where below plate
OP011,tread_bend_r14,seating_tread,unreal_export/geo/seating_rows.geojson,cut,629.34,629.34,627.8,1.24,0.0,49,0,1.35,PASS,retained-ground fringe (all_touched=False) cut to the flat plate; perimeter also filled where below plate
OP012,tread_bend_r15,seating_tread,unreal_export/geo/seating_rows.geojson,cut,630.75,630.75,629.34,1.0,0.0,30,0,0.71,PASS,retained-ground fringe (all_touched=False) cut to the flat plate; perimeter also filled where below plate
OP013,tread_bend_r16,seating_tread,unreal_export/geo/seating_rows.geojson,cut,632.24,632.24,630.75,1.15,0.0,49,0,1.32,PASS,retained-ground fringe (all_touched=False) cut to the flat plate; perimeter also filled where below plate
OP014,tread_bend_r17,seating_tread,unreal_export/geo/seating_rows.geojson,cut,633.66,633.66,632.24,1.12,0.0,45,0,1.19,PASS,retained-ground fringe (all_touched=False) cut to the flat plate; perimeter also filled where below plate
