stage_ft_navd88,depth_above_floor_ft,inundated_area_ac,inundated_area_ft2,storage_volume_ft3,storage_volume_acft,at_or_above_spill
604.0,-5.12,0.0,0,0.0,0.0,False
604.25,-4.87,0.0,0,0.0,0.0,False
604.5,-4.62,0.0,0,0.0,0.0,False
604.75,-4.37,0.0,0,0.0,0.0,False
605.0,-4.12,0.0,0,0.0,0.0,False
605.25,-3.87,0.0,0,0.0,0.0,False
605.5,-3.62,0.0,0,0.0,0.0,False
605.75,-3.37,0.0,0,0.0,0.0,False
606.0,-3.12,0.0,0,0.0,0.0,False
606.25,-2.87,0.0,0,0.0,0.0,False
606.5,-2.62,0.0,0,0.0,0.0,False
606.75,-2.37,0.0,0,0.0,0.0,False
607.0,-2.12,0.0,0,0.0,0.0,False
607.25,-1.87,0.0,0,0.0,0.0,False
607.5,-1.62,0.0,0,0.0,0.0,False
607.75,-1.37,0.0,0,0.0,0.0,False
608.0,-1.12,0.0,0,0.0,0.0,False
608.25,-0.87,0.0,0,0.0,0.0,False
608.5,-0.62,0.0,0,0.0,0.0,False
608.75,-0.37,0.0,0,0.0,0.0,False
609.0,-0.12,0.0,0,0.0,0.0,False
609.25,0.13,0.003,131,5.9,0.0001,False
609.5,0.38,0.0272,1187,139.5,0.0032,False
609.75,0.63,0.1266,5515,862.6,0.0198,False
610.0,0.88,0.3571,15556,3503.5,0.0804,False
610.25,1.13,0.4259,18553,7891.8,0.1812,False
610.5,1.38,0.4514,19663,12684.8,0.2912,False
610.75,1.63,0.4724,20579,17721.1,0.4068,False
611.0,1.88,0.4921,21437,22974.5,0.5274,False
611.25,2.13,0.509,22171,28427.6,0.6526,False
611.5,2.38,0.5252,22878,34061.0,0.7819,False
611.75,2.63,0.5415,23588,39874.6,0.9154,False
612.0,2.88,0.5572,24273,45853.8,1.0527,False
612.25,3.13,0.5718,24907,52001.6,1.1938,False
612.5,3.38,0.586,25527,58307.2,1.3385,False
612.75,3.63,0.6016,26205,64772.0,1.487,False
613.0,3.88,0.6166,26858,71408.7,1.6393,False
613.25,4.13,0.6298,27435,78195.5,1.7951,False
613.5,4.38,0.645,28095,85140.8,1.9546,False
613.75,4.63,0.6596,28734,92243.8,2.1176,False
614.0,4.88,0.673,29316,99501.7,2.2842,False
614.25,5.13,0.6885,29991,106916.5,2.4545,False
614.5,5.38,0.7026,30607,114492.1,2.6284,False
614.75,5.63,0.7178,31268,122223.9,2.8059,False
615.0,5.88,0.7334,31945,130126.2,2.9873,False
615.25,6.13,0.7479,32579,138192.0,3.1725,False
615.5,6.38,0.7619,33188,146415.0,3.3612,False
615.75,6.63,0.777,33844,154795.5,3.5536,False
616.0,6.88,0.792,34501,163335.1,3.7497,False
616.25,7.13,0.8073,35168,172040.9,3.9495,False
616.5,7.38,0.823,35851,180918.8,4.1533,False
616.75,7.63,0.8382,36514,189965.9,4.361,False
617.0,7.88,0.8541,37206,199184.7,4.5727,False
617.25,8.13,0.8701,37900,208574.0,4.7882,False
617.5,8.38,0.8863,38606,218137.1,5.0077,False
617.75,8.63,0.9042,39387,227884.5,5.2315,False
618.0,8.88,0.9297,40497,237863.3,5.4606,False
618.25,9.13,0.9343,40698,248034.1,5.6941,True
