dem_row,dem_col,X,Y,R_ft,az_deg,Z_dem,slope_deg,n_returns,n_ground,ground_median_Z,ground_max_Z,dem_minus_gnd_max,flags
397,558,19533181.2,750789.2,113.9,95.1,618.54,27.2,0,0,,,,NO_RETURNS
397,559,19533182.2,750789.2,114.9,95.0,619.51,28.8,0,0,,,,NO_RETURNS
398,558,19533181.2,750788.2,114.0,95.6,618.54,26.9,0,0,,,,NO_RETURNS
398,559,19533182.2,750788.2,115.0,95.5,619.41,25.6,1,1,619.31,619.31,0.1,ok
398,561,19533184.2,750788.2,117.0,95.4,619.66,29.1,0,0,,,,NO_RETURNS
398,562,19533185.2,750788.2,118.0,95.4,620.55,27.5,1,1,620.55,620.55,-0.0,ok
398,565,19533188.2,750788.2,121.0,95.2,621.33,31.3,0,0,,,,NO_RETURNS
398,568,19533191.2,750788.2,124.0,95.1,622.42,26.6,0,0,,,,NO_RETURNS
398,570,19533193.2,750788.2,126.0,95.0,623.17,26.1,0,0,,,,NO_RETURNS
399,558,19533181.2,750787.2,114.1,96.1,618.67,26.0,0,0,,,,NO_RETURNS
399,561,19533184.2,750787.2,117.1,95.9,619.99,31.6,0,0,,,,NO_RETURNS
399,565,19533188.2,750787.2,121.1,95.7,621.31,26.9,0,0,,,,NO_RETURNS
399,568,19533191.2,750787.2,124.1,95.6,622.59,26.9,1,1,622.59,622.59,0.0,ok
399,574,19533197.2,750787.2,130.1,95.3,624.56,26.1,0,0,,,,NO_RETURNS
399,577,19533200.2,750787.2,133.0,95.2,625.84,25.2,0,0,,,,NO_RETURNS
400,555,19533178.2,750786.2,111.3,96.7,617.9,26.7,0,0,,,,NO_RETURNS
401,555,19533178.2,750785.2,111.4,97.2,617.67,27.5,0,0,,,,NO_RETURNS
401,556,19533179.2,750785.2,112.4,97.2,618.47,28.7,1,1,618.48,618.48,-0.01,ok
401,559,19533182.2,750785.2,115.4,97.0,619.36,26.1,1,1,619.5,619.5,-0.14,ok
401,564,19533187.2,750785.2,120.3,96.7,621.34,27.2,0,0,,,,NO_RETURNS
401,568,19533191.2,750785.2,124.3,96.5,622.72,27.1,3,1,622.8,622.8,-0.08,ok
401,574,19533197.2,750785.2,130.3,96.2,624.73,25.6,0,0,,,,NO_RETURNS
402,554,19533177.2,750784.2,110.5,97.8,617.6,26.3,0,0,,,,NO_RETURNS
402,555,19533178.2,750784.2,111.5,97.8,618.48,29.2,0,0,,,,NO_RETURNS
402,560,19533183.2,750784.2,116.5,97.4,619.79,26.7,0,0,,,,NO_RETURNS
402,563,19533186.2,750784.2,119.5,97.2,620.55,31.2,0,0,,,,NO_RETURNS
402,564,19533187.2,750784.2,120.4,97.2,621.68,34.8,0,0,,,,NO_RETURNS
402,567,19533190.2,750784.2,123.4,97.0,622.06,27.0,0,0,,,,NO_RETURNS
402,568,19533191.2,750784.2,124.4,96.9,622.95,28.1,1,1,623.08,623.08,-0.13,ok
402,574,19533197.2,750784.2,130.4,96.6,624.94,28.3,0,0,,,,NO_RETURNS
402,578,19533201.2,750784.2,134.3,96.4,626.09,32.0,1,0,,,,NO_GROUND
403,560,19533183.2,750783.2,116.6,97.9,619.49,28.2,0,0,,,,NO_RETURNS
403,561,19533184.2,750783.2,117.6,97.8,620.48,30.9,0,0,,,,NO_RETURNS
403,563,19533186.2,750783.2,119.6,97.7,620.68,33.8,0,0,,,,NO_RETURNS
403,564,19533187.2,750783.2,120.6,97.6,621.97,33.9,0,0,,,,NO_RETURNS
403,567,19533190.2,750783.2,123.5,97.5,622.06,28.1,0,0,,,,NO_RETURNS
403,568,19533191.2,750783.2,124.5,97.4,623.08,29.3,0,0,,,,NO_RETURNS
403,577,19533200.2,750783.2,133.5,96.9,626.08,29.3,0,0,,,,NO_RETURNS
404,557,19533180.2,750782.2,113.8,98.6,618.87,28.7,0,0,,,,NO_RETURNS
404,560,19533183.2,750782.2,116.8,98.4,619.43,34.2,0,0,,,,NO_RETURNS
404,561,19533184.2,750782.2,117.7,98.3,620.67,32.0,0,0,,,,NO_RETURNS
404,564,19533187.2,750782.2,120.7,98.1,621.39,36.5,0,0,,,,NO_RETURNS
404,567,19533190.2,750782.2,123.7,97.9,622.07,29.0,0,0,,,,NO_RETURNS
404,568,19533191.2,750782.2,124.7,97.9,623.08,30.2,0,0,,,,NO_RETURNS
404,576,19533199.2,750782.2,132.6,97.4,625.7,37.3,0,0,,,,NO_RETURNS
405,555,19533178.2,750781.2,112.0,99.3,618.37,28.5,1,1,618.59,618.59,-0.22,ok
405,559,19533182.2,750781.2,115.9,99.0,619.65,25.3,0,0,,,,NO_RETURNS
405,564,19533187.2,750781.2,120.9,98.6,621.36,29.4,0,0,,,,NO_RETURNS
405,567,19533190.2,750781.2,123.8,98.4,622.41,25.8,0,0,,,,NO_RETURNS
405,568,19533191.2,750781.2,124.8,98.3,622.89,28.5,0,0,,,,NO_RETURNS
405,571,19533194.2,750781.2,127.8,98.1,623.76,29.5,0,0,,,,NO_RETURNS
405,575,19533198.2,750781.2,131.7,97.9,625.41,36.0,0,0,,,,NO_RETURNS
406,554,19533177.2,750780.2,111.1,99.9,618.0,31.7,0,0,,,,NO_RETURNS
406,557,19533180.2,750780.2,114.1,99.6,618.79,27.1,0,0,,,,NO_RETURNS
406,558,19533181.2,750780.2,115.1,99.5,619.64,27.4,1,1,619.64,619.64,0.0,ok
406,561,19533184.2,750780.2,118.0,99.3,620.09,25.8,0,0,,,,NO_RETURNS
406,562,19533185.2,750780.2,119.0,99.2,620.9,27.3,1,1,620.9,620.9,0.0,ok
406,565,19533188.2,750780.2,122.0,99.0,621.91,30.9,0,0,,,,NO_RETURNS
406,569,19533192.2,750780.2,125.9,98.7,623.56,27.1,0,0,,,,NO_RETURNS
406,574,19533197.2,750780.2,130.9,98.4,625.1,25.7,2,2,625.43,625.49,-0.39,ok
406,578,19533201.2,750780.2,134.9,98.1,626.56,27.0,1,1,626.79,626.79,-0.23,ok
407,553,19533176.2,750779.2,110.3,100.5,617.42,27.4,0,0,,,,NO_RETURNS
407,554,19533177.2,750779.2,111.3,100.4,618.25,26.2,0,0,,,,NO_RETURNS
407,565,19533188.2,750779.2,122.2,99.4,621.65,32.8,0,0,,,,NO_RETURNS
407,566,19533189.2,750779.2,123.1,99.4,622.65,28.1,2,2,622.73,622.76,-0.11,ok
407,568,19533191.2,750779.2,125.1,99.2,622.85,25.2,0,0,,,,NO_RETURNS
407,569,19533192.2,750779.2,126.1,99.1,623.64,28.0,0,0,,,,NO_RETURNS
407,573,19533196.2,750779.2,130.1,98.9,624.96,26.1,0,0,,,,NO_RETURNS
408,562,19533185.2,750778.2,119.4,100.2,620.82,31.1,0,0,,,,NO_RETURNS
408,565,19533188.2,750778.2,122.3,99.9,621.71,27.2,0,0,,,,NO_RETURNS
408,566,19533189.2,750778.2,123.3,99.8,622.49,26.9,0,0,,,,NO_RETURNS
408,568,19533191.2,750778.2,125.3,99.7,622.96,25.3,1,1,623.42,623.42,-0.46,ok
408,572,19533195.2,750778.2,129.2,99.4,624.54,27.3,2,1,624.91,624.91,-0.37,ok
409,558,19533181.2,750777.2,115.6,101.0,619.21,26.3,0,0,,,,NO_RETURNS
409,561,19533184.2,750777.2,118.6,100.7,620.3,33.0,0,0,,,,NO_RETURNS
409,562,19533185.2,750777.2,119.6,100.6,621.36,30.6,0,0,,,,NO_RETURNS
409,565,19533188.2,750777.2,122.5,100.4,621.81,32.5,0,0,,,,NO_RETURNS
409,568,19533191.2,750777.2,125.5,100.1,623.42,27.5,0,0,,,,NO_RETURNS
409,571,19533194.2,750777.2,128.4,99.9,623.84,28.3,0,0,,,,NO_RETURNS
409,572,19533195.2,750777.2,129.4,99.8,624.91,28.2,0,0,,,,NO_RETURNS
