kind,id,axis,fan_half,nrows,tread,G,useful_cap,raw_cap,min_C_mm,sl_pass,ada_max_pct,ada_plaus,gross_cy,implied_fill_cy,max_row_fill_ft,rake_stress_rows,disturbance_cy,wall_emergent,constructability,drainage_risk,freeboard_ft,bay_view,sunset,view_q,landform_fit,U_score,feasible,fail
geom,G-a330-f45-n12-t2.5,330,45,12,2.5,0,1012,1012,90,12/12,53.5,0.156,0.0,40.8,0.65,0,40.8,False,0.783,0.0,1.2,1.0,0.75,0.925,0.38,86.1,True,
geom,G-a330-f45-n12-t3.0,330,45,12,3.0,0,1040,1040,90,12/12,53.5,0.156,0.0,21.9,0.4,0,21.9,False,0.867,0.0,1.2,1.0,0.75,0.925,0.38,86.2,True,
geom,G-a330-f45-n12-t3.5,330,45,12,3.5,0,1072,1072,90,12/12,53.5,0.156,0.0,17.4,0.25,0,17.4,False,0.917,0.0,1.2,1.0,0.75,0.925,0.38,86.3,True,
geom,G-a330-f45-n12-t4.0,330,45,12,4.0,0,1096,1096,90,12/12,53.5,0.156,0.0,22.2,0.31,0,22.2,False,0.897,0.0,1.2,1.0,0.75,0.925,0.38,86.4,True,
geom,G-a330-f45-n16-t2.5,330,45,16,2.5,0,1418,1418,90,16/16,53.5,0.156,0.0,64.2,0.65,0,64.2,False,0.783,0.0,1.2,1.0,0.75,0.925,0.38,87.6,True,
geom,G-a330-f45-n16-t3.0,330,45,16,3.0,0,1469,1469,90,16/16,53.5,0.156,0.0,34.8,0.4,0,34.8,False,0.867,0.0,1.2,1.0,0.75,0.925,0.38,87.7,True,
geom,G-a330-f45-n16-t3.5,330,45,16,3.5,0,1526,1526,90,16/16,53.5,0.156,0.0,35.2,0.36,0,35.2,False,0.88,0.0,1.2,1.0,0.75,0.925,0.38,88.0,True,
geom,G-a330-f45-n16-t4.0,330,45,16,4.0,0,1572,1572,90,16/16,53.5,0.156,0.0,33.3,0.31,0,33.3,False,0.897,0.0,1.2,1.0,0.75,0.925,0.38,88.1,True,
geom,G-a330-f45-n20-t2.5,330,45,20,2.5,0,1858,1858,90,20/20,53.5,0.156,0.0,101.9,0.76,0,101.9,False,0.747,0.0,1.2,1.0,0.75,0.925,0.38,88.9,True,
geom,G-a330-f45-n20-t3.0,330,45,20,3.0,0,1939,1939,90,20/20,53.5,0.156,0.0,46.8,0.4,0,46.8,False,0.867,0.0,1.2,1.0,0.75,0.925,0.38,88.9,True,
geom,G-a330-f45-n20-t3.5,330,45,20,3.5,0,2028,2028,90,20/20,53.5,0.156,0.0,46.3,0.36,0,46.3,False,0.88,0.0,1.2,1.0,0.78,0.934,0.38,89.2,True,
geom,G-a330-f45-n20-t4.0,330,45,20,4.0,0,2102,2102,90,20/20,53.5,0.156,0.0,105.9,1.19,0,105.9,False,0.603,0.0,1.2,1.0,0.88,0.964,0.38,90.0,True,
geom,G-a330-f45-n24-t2.5,330,45,24,2.5,0,2333,2333,90,24/24,53.5,0.156,0.0,164.5,1.02,0,164.5,False,0.66,0.0,1.2,1.0,0.75,0.925,0.38,88.9,True,
geom,G-a330-f45-n24-t3.0,330,45,24,3.0,0,2451,2451,90,24/24,53.5,0.156,0.0,76.3,0.42,0,76.3,False,0.86,0.0,1.2,1.0,0.81,0.943,0.38,89.4,True,
geom,G-a330-f45-n24-t3.5,330,45,24,3.5,0,2578,2578,90,24/24,53.5,0.156,0.0,227.1,2.34,2,227.1,False,0.22,0.0,1.2,1.0,0.91,0.973,0.38,90.2,True,
geom,G-a330-f45-n24-t4.0,330,45,24,4.0,0,2687,2687,90,24/24,53.5,0.156,0.0,656.2,4.87,4,656.2,True,0.0,0.0,1.2,1.0,1.0,1.0,0.38,90.9,False,emergent_wall: measured fill 4.87 ft > 3.0 ft
geom,G-a330-f45-n28-t2.5,330,45,28,2.5,0,2841,2841,90,28/28,53.5,0.156,0.0,261.2,1.65,1,261.2,False,0.45,0.0,1.2,1.0,0.81,0.943,0.38,89.4,True,
geom,G-a330-f45-n28-t3.0,330,45,28,3.0,0,3003,3003,90,28/28,53.5,0.156,0.0,306.6,2.93,3,306.6,False,0.023,0.0,1.2,1.0,0.91,0.973,0.38,90.2,True,
geom,G-a330-f45-n28-t3.5,330,45,28,3.5,0,3176,3176,90,28/28,53.5,0.156,0.0,867.1,5.87,6,867.1,True,0.0,0.0,1.2,1.0,1.0,1.0,0.38,90.9,False,emergent_wall: measured fill 5.87 ft > 3.0 ft
geom,G-a330-f45-n28-t4.0,330,45,28,4.0,0,3327,3327,90,28/28,53.5,0.156,0.0,1925.8,8.89,8,1925.8,True,0.0,0.0,1.2,1.0,1.0,1.0,0.38,90.9,False,emergent_wall: measured fill 8.89 ft > 3.0 ft
geom,G-a330-f50-n12-t2.5,330,50,12,2.5,0,1125,1125,90,12/12,53.5,0.156,0.0,45.3,0.65,0,45.3,False,0.783,0.0,1.2,1.0,0.75,0.925,0.38,86.5,True,
geom,G-a330-f50-n12-t3.0,330,50,12,3.0,0,1155,1155,90,12/12,53.5,0.156,0.0,24.3,0.4,0,24.3,False,0.867,0.0,1.2,1.0,0.75,0.925,0.38,86.6,True,
geom,G-a330-f50-n12-t3.5,330,50,12,3.5,0,1188,1188,90,12/12,53.5,0.156,0.0,16.5,0.25,0,16.5,False,0.917,0.0,1.2,1.0,0.75,0.925,0.38,86.7,True,
geom,G-a330-f50-n12-t4.0,330,50,12,4.0,0,1219,1219,90,12/12,53.5,0.156,0.0,24.6,0.31,0,24.6,False,0.897,0.0,1.2,1.0,0.75,0.925,0.38,86.8,True,
geom,G-a330-f50-n16-t2.5,330,50,16,2.5,0,1576,1576,90,16/16,53.5,0.156,0.0,71.3,0.65,0,71.3,False,0.783,0.0,1.2,1.0,0.75,0.925,0.38,88.1,True,
geom,G-a330-f50-n16-t3.0,330,50,16,3.0,0,1633,1633,90,16/16,53.5,0.156,0.0,34.3,0.4,0,34.3,False,0.867,0.0,1.2,1.0,0.75,0.925,0.38,88.3,True,
geom,G-a330-f50-n16-t3.5,330,50,16,3.5,0,1691,1691,90,16/16,53.5,0.156,0.0,33.6,0.36,0,33.6,False,0.88,0.0,1.2,1.0,0.75,0.925,0.38,88.6,True,
geom,G-a330-f50-n16-t4.0,330,50,16,4.0,0,1747,1747,90,16/16,53.5,0.156,0.0,37.0,0.31,0,37.0,False,0.897,0.0,1.2,1.0,0.75,0.925,0.38,88.8,True,
geom,G-a330-f50-n20-t2.5,330,50,20,2.5,0,2066,2066,90,20/20,53.5,0.156,0.0,113.1,0.76,0,113.1,False,0.747,0.0,1.2,1.0,0.75,0.925,0.38,88.9,True,
geom,G-a330-f50-n20-t3.0,330,50,20,3.0,0,2155,2155,90,20/20,53.5,0.156,0.0,47.6,0.4,0,47.6,False,0.867,0.0,1.2,1.0,0.75,0.925,0.38,88.9,True,
geom,G-a330-f50-n20-t3.5,330,50,20,3.5,0,2247,2247,90,20/20,53.5,0.156,0.0,56.1,0.36,0,56.1,False,0.88,0.0,1.2,1.0,0.81,0.943,0.38,89.4,True,
geom,G-a330-f50-n20-t4.0,330,50,20,4.0,0,2336,2336,90,20/20,53.5,0.156,0.0,126.4,1.14,0,126.4,False,0.62,0.0,1.2,1.0,0.91,0.973,0.38,90.2,True,
geom,G-a330-f50-n24-t2.5,330,50,24,2.5,0,2593,2593,90,24/24,53.5,0.156,0.0,182.6,1.02,0,182.6,False,0.66,0.0,1.2,1.0,0.75,0.925,0.38,88.9,True,
geom,G-a330-f50-n24-t3.0,330,50,24,3.0,0,2724,2724,90,24/24,53.5,0.156,0.0,108.0,0.88,0,108.0,False,0.707,0.0,1.2,1.0,0.84,0.952,0.38,89.7,True,
geom,G-a330-f50-n24-t3.5,330,50,24,3.5,0,2856,2856,90,24/24,53.5,0.156,0.0,257.8,2.35,2,257.8,False,0.217,0.0,1.2,1.0,0.97,0.991,0.38,90.7,True,
geom,G-a330-f50-n24-t4.0,330,50,24,4.0,0,2987,2987,90,24/24,53.5,0.156,0.0,717.2,4.77,4,717.2,True,0.0,0.0,1.2,1.0,1.0,1.0,0.38,90.9,False,emergent_wall: measured fill 4.77 ft > 3.0 ft
