band,section,row,tread_elev_navd88_ft,C_mm,C_bar_mm,seats_kept,band_a_seats,pass_frac,band_status,sees_bay,sightline_verdict,fail_reasons,source
east r1,east,1,610.87,,90.0,16,16.0,1.0,formal,False,front_row_no_obstruction,,validation.json c_rows/per_band/measured_rows_1_18
east r2,east,2,611.86,181.5,90.0,18,18.0,1.0,formal,False,PASS,,validation.json c_rows/per_band/measured_rows_1_18
east r3,east,3,612.99,210.7,90.0,18,18.0,1.0,formal,False,PASS,,validation.json c_rows/per_band/measured_rows_1_18
east r4,east,4,614.19,218.8,90.0,19,19.0,1.0,formal,False,PASS,,validation.json c_rows/per_band/measured_rows_1_18
east r6,east,6,616.75,431.5,90.0,21,21.0,1.0,formal,True,PASS,,validation.json c_rows/per_band/measured_rows_1_18
east r7,east,7,618.05,212.6,90.0,22,22.0,1.0,formal,True,PASS,,validation.json c_rows/per_band/measured_rows_1_18
east r8,east,8,619.35,192.2,90.0,23,23.0,1.0,formal,True,PASS,,validation.json c_rows/per_band/measured_rows_1_18
east r11,east,11,623.36,494.2,90.0,25,25.0,1.0,formal,True,PASS,,validation.json c_rows/per_band/measured_rows_1_18
east r12,east,12,624.74,166.8,90.0,26,26.0,1.0,formal,True,PASS,,validation.json c_rows/per_band/measured_rows_1_18
east r13,east,13,626.33,215.0,90.0,27,27.0,1.0,formal,True,PASS,,validation.json c_rows/per_band/measured_rows_1_18
east r14,east,14,627.85,153.1,90.0,28,28.0,1.0,formal,True,PASS,,validation.json c_rows/per_band/measured_rows_1_18
east r15,east,15,629.36,136.2,90.0,29,29.0,1.0,formal,True,PASS,,validation.json c_rows/per_band/measured_rows_1_18
east r16,east,16,630.77,145.3,90.0,30,30.0,1.0,formal,True,PASS,,validation.json c_rows/per_band/measured_rows_1_18
east r17,east,17,632.26,109.1,90.0,31,31.0,1.0,formal,True,PASS,,validation.json c_rows/per_band/measured_rows_1_18
east r18,east,18,633.66,100.1,90.0,32,32.0,1.0,formal,True,PASS,,validation.json c_rows/per_band/measured_rows_1_18
bend r1,bend,1,610.87,,90.0,19,16.0,0.843,formal,False,front_row_no_obstruction,slope_x2.5/s0.7/d0.00,validation.json c_rows/per_band/measured_rows_1_18
bend r2,bend,2,611.92,196.2,90.0,21,21.0,1.0,formal,False,PASS,,validation.json c_rows/per_band/measured_rows_1_18
bend r3,bend,3,613.06,211.8,90.0,22,22.0,1.0,formal,False,PASS,,validation.json c_rows/per_band/measured_rows_1_18
bend r4,bend,4,614.25,214.2,90.0,23,23.0,1.0,formal,False,PASS,,validation.json c_rows/per_band/measured_rows_1_18
bend r6,bend,6,616.78,421.5,90.0,24,24.0,1.0,formal,True,PASS,,validation.json c_rows/per_band/measured_rows_1_18
bend r7,bend,7,618.08,215.2,90.0,25,25.0,1.0,formal,True,PASS,,validation.json c_rows/per_band/measured_rows_1_18
bend r8,bend,8,619.39,193.9,90.0,26,26.0,1.0,formal,True,PASS,,validation.json c_rows/per_band/measured_rows_1_18
bend r11,bend,11,623.44,501.2,90.0,29,29.0,1.0,formal,True,PASS,,validation.json c_rows/per_band/measured_rows_1_18
bend r12,bend,12,624.86,178.1,90.0,29,29.0,1.0,formal,True,PASS,,validation.json c_rows/per_band/measured_rows_1_18
bend r13,bend,13,626.38,192.9,90.0,31,31.0,1.0,formal,True,PASS,,validation.json c_rows/per_band/measured_rows_1_18
bend r14,bend,14,627.88,139.2,90.0,32,32.0,1.0,formal,True,PASS,,validation.json c_rows/per_band/measured_rows_1_18
bend r15,bend,15,629.43,149.6,90.0,33,33.0,1.0,formal,True,PASS,,validation.json c_rows/per_band/measured_rows_1_18
bend r16,bend,16,630.83,143.5,90.0,34,34.0,1.0,formal,True,PASS,,validation.json c_rows/per_band/measured_rows_1_18
bend r17,bend,17,632.32,109.2,90.0,35,35.0,1.0,formal,True,PASS,,validation.json c_rows/per_band/measured_rows_1_18
bend r18,bend,18,633.76,112.7,90.0,36,36.0,1.0,formal,True,PASS,,validation.json c_rows/per_band/measured_rows_1_18
south r1,south,1,610.84,,90.0,22,22.0,1.0,formal,False,front_row_no_obstruction,,validation.json c_rows/per_band/measured_rows_1_18
south r2,south,2,611.92,205.2,90.0,23,23.0,1.0,formal,False,PASS,,validation.json c_rows/per_band/measured_rows_1_18
south r3,south,3,613.02,204.2,90.0,25,25.0,1.0,formal,False,PASS,,validation.json c_rows/per_band/measured_rows_1_18
south r4,south,4,614.23,217.2,90.0,26,26.0,1.0,formal,False,PASS,,validation.json c_rows/per_band/measured_rows_1_18
south r6,south,6,616.71,418.6,90.0,29,24.8,0.856,formal,True,PASS,slope_x49.5/s12.3/d0.17,validation.json c_rows/per_band/measured_rows_1_18
south r7,south,7,618.08,236.6,90.0,30,30.0,1.0,formal,True,PASS,,validation.json c_rows/per_band/measured_rows_1_18
south r8,south,8,619.34,181.2,90.0,31,31.0,1.0,formal,True,PASS,,validation.json c_rows/per_band/measured_rows_1_18
south r11,south,11,623.39,507.7,90.0,34,34.0,1.0,formal,True,PASS,,validation.json c_rows/per_band/measured_rows_1_18
south r12,south,12,624.79,169.2,90.0,36,36.0,1.0,formal,True,PASS,,validation.json c_rows/per_band/measured_rows_1_18
south r13,south,13,626.29,187.6,90.0,37,37.0,1.0,formal,True,PASS,,validation.json c_rows/per_band/measured_rows_1_18
south r14,south,14,627.88,169.8,90.0,39,39.0,1.0,formal,True,PASS,,validation.json c_rows/per_band/measured_rows_1_18
south r15,south,15,629.34,127.4,90.0,40,40.0,1.0,formal,True,PASS,,validation.json c_rows/per_band/measured_rows_1_18
south r16,south,16,630.75,148.3,90.0,41,41.0,1.0,formal,True,PASS,,validation.json c_rows/per_band/measured_rows_1_18
south r17,south,17,632.32,130.6,90.0,42,42.0,1.0,formal,True,PASS,,validation.json c_rows/per_band/measured_rows_1_18
south r18,south,18,633.68,87.8,90.0,44,11.3,0.256,formal,True,WARN,C_82.8mm;C_83.7mm;C_84.6mm;C_84.7mm;C_86.2mm;C_87.6mm;C_88.0mm;C_88.6mm,validation.json c_rows/per_band/measured_rows_1_18
